t_emm,TechType,EnergySource,DAC_BaseCap
2025,1,1,1985.815603
2026,1,1,1754.558205
2027,1,1,1528.432732
2028,1,1,1307.270233
2029,1,1,1090.909091
2030,1,1,879.1946309
2031,1,1,874.1706616
2032,1,1,869.1466922
2033,1,1,864.1227229
2034,1,1,859.0987536
2035,1,1,703.3557047
2036,1,1,562.6845638
2037,1,1,450.147651
2038,1,1,405.1328859
2039,1,1,364.6195973
2040,1,1,328.1576376
2041,1,1,295.3418738
2042,1,1,265.8076864
2043,1,1,263.1496096
2044,1,1,260.5181135
2045,1,1,260.5181135
2046,1,1,257.9129323
2047,1,1,257.9129323
2048,1,1,257.9129323
2049,1,1,257.9129323
2050,1,1,257.9129323
2030,1,2,947.0198675
2031,1,2,941.6083254
2032,1,2,936.1967833
2033,1,2,930.7852412
2034,1,2,925.3736991
2035,1,2,757.615894
2036,1,2,606.0927152
2037,1,2,484.8741722
2038,1,2,436.386755
2039,1,2,392.7480795
2040,1,2,353.4732715
2041,1,2,318.1259444
2042,1,2,286.3133499
2043,1,2,283.4502164
2044,1,2,280.6157143
2045,1,2,280.6157143
2046,1,2,277.8095571
2047,1,2,277.8095571
2048,1,2,277.8095571
2049,1,2,277.8095571
2050,1,2,277.8095571
