t_emm,TechType,EnergySource,Q_el
2025,1,1,0.5
2026,1,1,0.49
2027,1,1,0.48
2028,1,1,0.47
2029,1,1,0.46
2030,1,1,0.45
2031,1,1,0.446
2032,1,1,0.442
2033,1,1,0.438
2034,1,1,0.434
2035,1,1,0.43
2036,1,1,0.426
2037,1,1,0.422
2038,1,1,0.418
2039,1,1,0.414
2040,1,1,0.41
2041,1,1,0.406
2042,1,1,0.402
2043,1,1,0.398
2044,1,1,0.394
2045,1,1,0.39
2046,1,1,0.386
2047,1,1,0.382
2048,1,1,0.378
2049,1,1,0.374
2050,1,1,0.37
2030,1,2,
2031,1,2,
2032,1,2,
2033,1,2,
2034,1,2,
2035,1,2,
2036,1,2,
2037,1,2,
2038,1,2,
2039,1,2,
2040,1,2,
2041,1,2,
2042,1,2,
2043,1,2,
2044,1,2,
2045,1,2,
2046,1,2,
2047,1,2,
2048,1,2,
2049,1,2,
2050,1,2,
