t_emm,TechType,EnergySource,Q_el
2025,1,1,0.5
2026,1,1,0.49
2027,1,1,0.48
2028,1,1,0.47
2029,1,1,0.46
2030,1,1,0.45
2031,1,1,0.45
2032,1,1,0.45
2033,1,1,0.45
2034,1,1,0.45
2035,1,1,0.45
2036,1,1,0.45
2037,1,1,0.45
2038,1,1,0.45
2039,1,1,0.45
2040,1,1,0.45
2041,1,1,0.45
2042,1,1,0.45
2043,1,1,0.45
2044,1,1,0.45
2045,1,1,0.45
2046,1,1,0.45
2047,1,1,0.45
2048,1,1,0.45
2049,1,1,0.45
2050,1,1,0.45
2030,1,2,
2031,1,2,
2032,1,2,
2033,1,2,
2034,1,2,
2035,1,2,
2036,1,2,
2037,1,2,
2038,1,2,
2039,1,2,
2040,1,2,
2041,1,2,
2042,1,2,
2043,1,2,
2044,1,2,
2045,1,2,
2046,1,2,
2047,1,2,
2048,1,2,
2049,1,2,
2050,1,2,
