t_emm,TechType,EnergySource,Q_ng
2025,1,1,7.46
2026,1,1,7.718
2027,1,1,7.976
2028,1,1,8.234
2029,1,1,8.492
2030,1,1,8.75
2031,1,1,8.75
2032,1,1,8.75
2033,1,1,8.75
2034,1,1,8.75
2035,1,1,8.75
2036,1,1,8.75
2037,1,1,8.75
2038,1,1,8.75
2039,1,1,8.75
2040,1,1,8.75
2041,1,1,8.75
2042,1,1,8.75
2043,1,1,8.75
2044,1,1,8.75
2045,1,1,8.75
2046,1,1,8.75
2047,1,1,8.75
2048,1,1,8.75
2049,1,1,8.75
2050,1,1,8.75
2030,1,2,9.27
2031,1,2,9.27
2032,1,2,9.27
2033,1,2,9.27
2034,1,2,9.27
2035,1,2,9.27
2036,1,2,9.27
2037,1,2,9.27
2038,1,2,9.27
2039,1,2,9.27
2040,1,2,9.27
2041,1,2,9.27
2042,1,2,9.27
2043,1,2,9.27
2044,1,2,9.27
2045,1,2,9.27
2046,1,2,9.27
2047,1,2,9.27
2048,1,2,9.27
2049,1,2,9.27
2050,1,2,9.27
