MYEAR,CARBON_PRICE,DISC_RATE_S,DISC_RATE_C,DISC_RATE_T,GDP,OIL_PRICE
1987,,0.07,0.07,0.07,1.00,
1988,,0.07,0.07,0.07,1.03,
1989,,0.07,0.07,0.07,1.07,
1990,,0.07,0.07,0.07,1.11,50.00
1991,,0.07,0.07,0.07,1.15,50.20
1992,,0.07,0.07,0.07,1.18,51.58
1993,,0.07,0.07,0.07,1.20,52.96
1994,,0.07,0.07,0.07,1.23,54.04
1995,,0.07,0.07,0.07,1.26,55.36
1996,,0.07,0.07,0.07,1.28,57.00
1997,,0.07,0.07,0.07,1.30,58.54
1998,,0.07,0.07,0.07,1.32,60.00
1999,,0.07,0.07,0.07,1.34,61.39
2000,,0.07,0.07,0.07,1.36,62.68
2001,,0.07,0.07,0.07,1.40,63.78
2002,,0.07,0.07,0.07,1.42,64.87
2003,,0.07,0.07,0.07,1.45,65.89
2004,,0.07,0.07,0.07,1.49,66.83
2005,,0.07,0.07,0.07,1.54,67.71
2006,,0.07,0.07,0.07,1.59,68.43
2007,,0.07,0.07,0.07,1.64,69.01
2008,,0.07,0.07,0.07,1.67,69.46
2009,,0.07,0.07,0.07,1.69,69.81
2010,,0.07,0.07,0.07,1.71,70.10
2011,,0.07,0.07,0.07,1.75,70.30
2012,,0.07,0.07,0.07,1.77,70.51
2013,0.05,0.07,0.07,0.07,1.78,70.67
2014,0.05,0.07,0.07,0.07,1.81,70.88
2015,0.05,0.07,0.07,0.07,1.84,70.88
2016,0.06,0.07,0.07,0.07,1.88,70.88
2017,0.06,0.07,0.07,0.07,1.91,70.88
2018,0.07,0.07,0.07,0.07,1.94,70.88
2019,0.07,0.07,0.07,0.07,1.98,70.88
2020,0.07,0.07,0.07,0.07,2.01,70.88
2021,0.08,0.07,0.07,0.07,2.05,70.88
2022,0.08,0.07,0.07,0.07,2.08,70.88
2023,0.09,0.07,0.07,0.07,2.12,70.88
2024,0.09,0.07,0.07,0.07,2.15,70.88
2025,0.10,0.07,0.07,0.07,2.19,70.88
2026,0.10,0.07,0.07,0.07,2.24,70.88
2027,0.11,0.07,0.07,0.07,2.28,70.88
2028,0.11,0.07,0.07,0.07,2.33,70.88
2029,0.12,0.07,0.07,0.07,2.38,70.88
2030,0.12,0.07,0.07,0.07,2.43,70.88
2031,0.13,0.07,0.07,0.07,2.49,70.88
2032,0.14,0.07,0.07,0.07,2.54,70.88
2033,0.15,0.07,0.07,0.07,2.59,70.88
2034,0.15,0.07,0.07,0.07,2.65,70.88
2035,0.16,0.07,0.07,0.07,2.70,70.88
2036,0.17,0.07,0.07,0.07,2.76,70.88
2037,0.18,0.07,0.07,0.07,2.81,70.88
2038,0.19,0.07,0.07,0.07,2.87,70.88
2039,0.20,0.07,0.07,0.07,2.92,70.88
2040,0.21,0.07,0.07,0.07,2.97,70.88
2041,,0.07,0.07,0.07,3.03,70.88
2042,,0.07,0.07,0.07,3.09,70.88
2043,,0.07,0.07,0.07,3.15,70.88
2044,,0.07,0.07,0.07,3.21,70.88
2045,,0.07,0.07,0.07,3.28,70.88
2046,,0.07,0.07,0.07,3.34,70.88
2047,,0.07,0.07,0.07,3.41,70.88
2048,,0.07,0.07,0.07,3.48,70.88
2049,,0.07,0.07,0.07,3.55,70.88
2050,,0.07,0.07,0.07,3.62,70.88
2051,,,,,3.69,70.88
2052,,,,,3.76,70.88
2053,,,,,3.84,70.88
2054,,,,,3.91,70.88
2055,,,,,3.99,70.88
2056,,,,,4.07,70.88
2057,,,,,4.15,70.88
2058,,,,,4.23,70.88
2059,,,,,4.32,70.88
2060,,,,,4.40,70.88
2061,,,,,4.49,70.88
2062,,,,,4.58,70.88
2063,,,,,4.67,70.88
2064,,,,,4.76,70.88
2065,,,,,4.86,70.88
2066,,,,,4.95,70.88
2067,,,,,5.05,70.88
2068,,,,,5.15,70.88
2069,,,,,5.25,70.88
2070,,,,,5.36,70.88
