KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N
1,1002431,37.3181,-122.091,CA,West,"""Pacific""",9,6,23,Dry,1,0.846972535,1510.715997,767374,1,1,1,1,1,0,0.95,0,0.05,0,0,0,0,0,1618.54255,113.9359126,119.4376411,103485.7016,2726.647264,1391.719651,19.30693144,0.487336733,0
2,1001701,37.797162,-95.431386,KS,Midwest,"""West North Central""",4,3,7,0,0,0.779895648,2344.078215,694450,1,1,1,1,0,0,0,0,0,0,0,0,0,0,953.61024,67.1320543,66.26581078,446765.6915,11771.40833,6008.294698,145.4526873,3.67145021,0
3,1002421,32.51993,-97.0068,TX,South,"""West South Central""",7,2,18,Wet,4,0.873618011,2595.095735,689627.5,1,1,1,1,1,0,0.5,0.5,0,0,0,0,0,0,947.6727273,66.26380711,65.27943286,394560.3162,10395.89808,5306.214646,118.8842694,3.000822357,0
4,1004810,30.5349,-88.1121,AL,South,"""East South Central""",6,2,17,Dry,1,0.721666667,1471.191981,560273,1,1,1,1,1,0.03,0.92,0.03,0,0.03,0,0,0,0,1564.483013,77.33588628,77.85794106,166122.2675,4376.999133,2234.082782,38.99946442,1.070086024,0
5,1009018,35.071319,-106.392283,NM,West,"""Mountain""",8,5,21,Dry,1,0.68458418,1783.273589,293034.1,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,467.0744033,84.61238929,86.12446004,501987.594,13226.39822,6750.942288,114.5440485,2.891268485,0
6,1001835,40.72966,-75.30078,PA,Northeast,"""Middle Atlantic""",2,1,3,0,0,0.871798244,99999,753896,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,350776.49,9242.27929,4717.391163,11.25828885,292.846996,0
7,1005639,40.687646,-75.506305,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,2,0.721666667,1726.135817,261087,1,1,1,1,1,0.02,0,0.02,0,0.02,0.5,0,0,0.44,557.4545455,54.39292086,55.96010132,427230.3872,11256.691,5745.575631,95.15526043,2.61091571,0
8,1005639,40.687646,-75.506305,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,2,0.721666667,1814.894393,112729,1,1,1,1,1,0.02,0,0.02,0,0.02,0.5,0,0,0.44,398.1818182,38.85208633,39.97150094,598122.5421,15759.36741,8043.805884,133.2173646,3.655281994,0
9,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1204.802984,275319,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,796.3636364,10.61139025,10.38847285,827003.6586,21789.94033,11121.89631,338.8790576,9.298326244,0
10,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1194.944349,416640,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,1194.545455,15.91708537,15.58270928,551335.7724,14526.62689,7414.597542,225.9193718,6.198884163,0
11,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1469.380606,367958,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,796.3636364,10.61139025,10.38847285,827003.6586,21789.94033,11121.89631,338.8790576,9.298326244,0
12,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1188.302546,413449,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,1194.545455,15.91708537,15.58270928,551335.7724,14526.62689,7414.597542,225.9193718,6.198884163,0
13,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1098.156208,291425,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,796.3636364,10.61139025,10.38847285,827003.6586,21789.94033,11121.89631,338.8790576,9.298326244,0
14,1002750,33.226205,-80.452832,SC,South,"""South Atlantic""",5,1,12,0,0,0.816521182,1864.99388,620044.9,1,1,1,1,1,0.02,0.02,0.44,0,0,0,0,0.5,0.02,1083.054545,24.12536215,24.07444264,301598.7694,7946.541857,4056.028298,81.24354684,2.229199435,0
15,1002750,33.226205,-80.452832,SC,South,"""South Atlantic""",5,1,12,0,0,0.816521182,4.939809458,1624.5,1,1,0,1,1,0.02,0.02,0.44,0,0,0,0,0.5,0.02,1083.054545,24.12536215,24.07444264,301598.7694,7946.541857,4056.028298,81.24354684,2.229199435,0
16,1002750,33.226205,-80.452832,SC,South,"""South Atlantic""",5,1,12,Dry,1,0.816521182,17.21361351,5621,1,1,0,1,1,0.02,0.02,0.44,0,0,0,0,0.5,0.02,1083.054545,24.12536215,24.07444264,301598.7694,7946.541857,4056.028298,81.24354684,2.229199435,0
17,1006815,33.27738,-80.430135,SC,South,"""South Atlantic""",5,1,12,Dry,3,0.87557621,2085.094038,1226754,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,2112.045454,62.47125075,60.97087432,234318.6957,6173.842575,3151.217302,80.96411544,2.221532262,0
18,1008033,32.5127,-87.815631,AL,South,"""East South Central""",6,2,17,Dry,1,0.895925994,1652.402269,514041,1,1,1,1,1,0.32,0.2,0.15,0.33,0,0,0,0,0,1011.381818,70.97398033,70.63045606,319838.5238,8427.123964,4301.324259,85.65371692,2.350207798,0
19,1007792,32.462679,-97.025572,TX,South,"""West South Central""",7,2,18,Dry,1,0.862684923,2125.09118,1366967.4,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,2304.049586,56.42735679,54.10466894,249698.6814,6579.075331,3358.05388,97.10640939,2.451115574,0
20,1007997,38.034696,-85.90601,KY,South,"""East South Central""",6,1,16,Dry,3,0.816521182,2120.429285,1042904.2,1,1,1,1,1,0,0.5,0,0,0,0,0,0,0.5,1667.428049,60.82146726,59.09662697,287013.8073,7562.256429,3859.883534,97.20382724,2.667125269,0
21,1007766,41.1809,-84.6048,OH,Midwest,"""East North Central""",3,1,4,Wet,4,0.823868954,2734.109481,206953,1,1,1,1,1,0.22,0.5,0,0,0.14,0,0,0,0.14,256.3293946,41.66746418,42.45365295,1031828.944,27186.68882,13876.47371,244.8053725,6.717087316,0
22,1007766,41.1809,-84.6048,OH,Midwest,"""East North Central""",3,1,4,Wet,4,0.823868954,2557.533939,185022,1,1,1,1,1,0.22,0.5,0,0,0.14,0,0,0,0.14,268.6191601,43.66521932,44.48910206,984621.0837,25942.85338,13241.60236,233.6051267,6.409769596,0
23,1007877,40.202236,-105.236697,CO,West,"""Mountain""",8,5,20,0,0,0.721666667,2648.145604,264996.3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,477.8181818,89.74371783,91.9539395,523542.6792,13794.33286,7040.824224,124.1746705,3.134360243,0
24,1007927,34.6045,-117.3382,CA,West,"""Pacific""",9,6,23,Dry,3,0.855880222,2221.863797,1246974.1,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,1990.909091,76.79522443,77.24371861,295496.3505,7785.754969,3973.960377,116.4416066,2.939165779,0
25,1001689,34.9811,-112.376291,AZ,West,"""Mountain""",8,5,21,Dry,3,0.75967276,2359.911258,485598,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,647.3544192,76.12884252,76.48667107,470334.3492,12392.39669,6325.256013,125.4184624,3.165755468,0
26,1000633,37.4604,-79.9948,VA,South,"""South Atlantic""",5,1,12,Dry,3,0.786596322,2522.30823,808614,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,1043.236364,64.96689967,63.80607266,406672.2011,10715.02272,5469.100416,128.1484764,3.516199407,0
27,1003594,44.08401,-69.157238,ME,Northeast,"""New England""",1,1,1,Dry,1,0.721666667,2118.615042,329886.8,1,1,1,1,1,0,0,0.03,0.92,0,0.03,0,0,0.03,839.0040207,97.89295965,101.2119392,272103.7542,7169.405488,3659.366811,59.07757192,1.620998775,0
28,1004131,41.0633,-111.5317,UT,West,"""Mountain""",8,5,20,Dry,1,0.760461518,2771.243617,684487,1,1,1,1,1,0.45,0.03,0.5,0,0,0,0,0,0.03,768.0165288,74.32039386,74.43217111,495654.086,13059.52259,6665.766583,150.9412306,3.809989511,0
29,1004899,41.861,-89.4548,IL,Midwest,"""East North Central""",3,1,5,0,0,0.617,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,522.2151314,155.3150584,158.4062589,163352.3071,8734.241135,12762.98039,104.2225087,2.800233618,0
30,1000533,29.9616,-82.8497,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.714207216,1798.197114,601953,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,955.6363636,77.63983737,78.20324669,337215.7015,8884.978848,4535.019921,90.10201862,2.472262435,0
31,1005987,39.67913,-91.31424,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.782499466,1629.961186,763006.9,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,1161.363636,75.96788679,76.30381626,297373.9443,7835.22592,3999.211056,82.83065931,2.272747388,0
