facility_id,latitude,longitude,TOTAL_CO2
1000198,40.44778,-76.26918,1
1000243,37.716805,-88.379849,2
1000247,35.601197,-84.845342,1
1000290,43.8064,-73.1208,1
1000533,30.4616,-82.3497,1
1000633,37.9604,-79.4948,1
1001689,35.4811,-111.876291,1
1001701,38.297162,-94.931386,1
1001835,41.22966,-74.80078,1
1002049,31.981987,-96.740773,1
1002055,33.012975,-96.471099,2
1002102,30.5536,-97.3572,1
1002204,35.26754,-96.19652,1
1002308,35.1222,-116.6001,2
1002421,33.01993,-96.5068,1
1002431,37.8181,-121.591,1
1002517,38.915722,-85.249361,3
1002527,45.0428,-116.9218,1
1002530,40.063527,-111.697061,1
1002531,47.04448,-111.42062,1
1002537,48.06799,-121.84255,1
1002566,35.62279,-117.869304,1
1002665,38.198786,-94.959748,1
1002750,33.726205,-79.952832,3
1002787,40.060284,-76.671425,1
1003002,38.6804,-89.8366,1
1003008,38.886367,-104.517688,1
1003067,38.629058,-104.106741,1
1003303,29.082265,-81.930829,2
1003594,44.58401,-68.657238,1
1003643,35.279716,-111.583801,2
1003770,33.742778,-79.942222,1
1003883,29.260864,-81.525353,1
1003891,39.239074,-85.95703,3
1004078,40.1524,-77.1805,1
1004131,41.5633,-111.0317,1
1004174,40.12,-118.7628,2
1004270,30.045278,-97.921111,2
1004289,36.771838,-94.722539,3
1004385,39.644325,-93.916723,1
1004539,44.5896,-102.771663,3
1004612,41.2369,-121.8223,1
1004721,36.522505,-83.334408,1
1004810,31.0349,-87.6121,1
1004899,42.361,-88.9548,1
1005302,40.116615,-86.368632,1
1005331,32.9152,-83.1333,1
1005352,43.6788,-92.7118,1
1005360,42.99756,-73.313652,1
1005458,30.190671,-82.082134,2
1005622,41.215359,-74.900859,1
1005639,41.187646,-75.006305,2
1005662,34.937557,-116.391034,1
1005742,40.972471,-75.395245,2
1005978,41.76109,-105.10319,2
1005987,40.17913,-90.81424,1
1006077,41.95906,-90.195252,1
1006110,32.75,-99.958333,1
1006112,37.7676,-89.0385,1
1006136,41.234521,-85.933441,2
1006185,46.444769,-110.977076,1
1006212,40.2779,-83.4661,2
1006234,34.0401,-86.0435,1
1006363,32.245833,-102.046661,2
1006450,41.25037,-74.77114,1
1006642,35.319863,-118.248732,1
1006659,33.6043,-86.2985,2
1006669,32.9097,-110.6513,1
1006738,41.829483,-88.581612,1
1006785,41.2948,-79.20017,1
1006815,33.77738,-79.930135,1
1006842,35.529298,-117.816236,1
1007216,36.6941,-95.3117,2
1007552,41.505565,-95.654917,2
1007563,38.609942,-89.757947,2
1007566,39.934879,-77.477911,1
1007606,34.1936,-93.9166,1
1007621,30.29992,-97.53647,2
1007663,30.175,-97.682778,2
1007766,41.6809,-84.1048,2
1007792,32.962679,-96.525572,1
1007877,40.702236,-104.736697,1
1007927,35.1045,-116.8382,1
1007985,34.233584,-85.655217,1
1007997,38.534696,-85.40601,1
1008033,33.0127,-87.315631,1
1009018,35.571319,-105.892283,1
