FromNode,ToNode,LinkDist
T_GRID_1,T_GRID_3,205.8299076
T_GRID_3,T_GRID_1,205.8299076
T_GRID_3,T_GRID_4,180.7486641
T_GRID_3,T_GRID_11,207.2858358
T_GRID_2,T_GRID_17,481.5630008
T_GRID_17,T_GRID_2,481.5630008
T_GRID_17,T_GRID_16,174.2053541
T_GRID_17,T_GRID_30,269.4345721
T_GRID_17,T_GRID_31,208.309851
T_GRID_17,T_GRID_32,269.4345721
T_GRID_4,T_GRID_3,180.7486641
T_GRID_4,T_GRID_12,207.2858358
T_GRID_11,T_GRID_3,207.2858358
T_GRID_11,T_GRID_12,174.2053541
T_GRID_11,T_GRID_10,174.2053541
T_GRID_11,T_GRID_24,269.4345721
T_GRID_11,T_GRID_25,208.309851
T_GRID_11,T_GRID_26,269.4345721
T_GRID_12,T_GRID_4,207.2858358
T_GRID_12,T_GRID_11,174.2053541
T_GRID_12,T_GRID_25,269.4345721
T_GRID_12,T_GRID_26,208.309851
T_GRID_12,T_GRID_13,174.2053541
T_GRID_12,T_GRID_27,269.4345721
T_GRID_5,T_GRID_14,224.4579567
T_GRID_14,T_GRID_5,224.4579567
T_GRID_14,T_GRID_13,174.2053541
T_GRID_14,T_GRID_27,269.4345721
T_GRID_14,T_GRID_28,208.309851
T_GRID_14,T_GRID_15,174.2053541
T_GRID_14,T_GRID_29,269.4345721
T_GRID_6,T_GRID_7,174.2053541
T_GRID_6,T_GRID_19,291.7552629
T_GRID_6,T_GRID_20,225.5668041
T_GRID_6,T_GRID_21,291.7552629
T_GRID_7,T_GRID_6,174.2053541
T_GRID_7,T_GRID_20,291.7552629
T_GRID_7,T_GRID_21,225.5668041
T_GRID_7,T_GRID_8,188.6369981
T_GRID_7,T_GRID_22,269.4345721
T_GRID_19,T_GRID_6,291.7552629
T_GRID_19,T_GRID_20,195.4035207
T_GRID_19,T_GRID_18,167.6297194
T_GRID_19,T_GRID_34,331.7718984
T_GRID_19,T_GRID_35,269.2678598
T_GRID_19,T_GRID_36,325.3241974
T_GRID_20,T_GRID_6,225.5668041
T_GRID_20,T_GRID_7,291.7552629
T_GRID_20,T_GRID_19,195.4035207
T_GRID_20,T_GRID_21,167.6297194
T_GRID_20,T_GRID_35,309.7580702
T_GRID_20,T_GRID_36,226.151011
T_GRID_20,T_GRID_37,309.7580702
T_GRID_21,T_GRID_6,291.7552629
T_GRID_21,T_GRID_7,225.5668041
T_GRID_21,T_GRID_20,167.6297194
T_GRID_21,T_GRID_8,314.0759537
T_GRID_21,T_GRID_22,167.6297194
T_GRID_21,T_GRID_36,287.7442419
T_GRID_21,T_GRID_37,226.151011
T_GRID_21,T_GRID_38,287.7442419
T_GRID_8,T_GRID_7,188.6369981
T_GRID_8,T_GRID_21,314.0759537
T_GRID_8,T_GRID_22,225.5668041
T_GRID_8,T_GRID_9,188.6369981
T_GRID_8,T_GRID_23,269.4345721
T_GRID_22,T_GRID_7,269.4345721
T_GRID_22,T_GRID_21,167.6297194
T_GRID_22,T_GRID_8,225.5668041
T_GRID_22,T_GRID_9,314.0759537
T_GRID_22,T_GRID_23,167.6297194
T_GRID_22,T_GRID_37,287.7442419
T_GRID_22,T_GRID_38,226.151011
T_GRID_22,T_GRID_39,265.7304137
T_GRID_9,T_GRID_8,188.6369981
T_GRID_9,T_GRID_22,314.0759537
T_GRID_9,T_GRID_23,208.309851
