"OGSM_Region1","OGSM_REGION2","Distance"
1,1,0.00
1,2,937.70
1,3,881.96
1,4,1337.53
1,5,1245.16
1,6,2144.82
1,7,1046.89
2,1,937.70
2,2,0.00
2,3,579.71
2,4,820.93
2,5,1323.74
2,6,1867.61
2,7,1347.12
3,1,881.96
3,2,579.71
3,3,0.00
3,4,455.65
3,5,744.51
3,6,1382.33
3,7,802.04
4,1,1337.53
4,2,820.93
4,3,455.65
4,4,0.00
4,5,791.97
4,6,1051.03
4,7,997.48
5,1,1245.16
5,2,1323.74
5,3,744.51
5,4,791.97
5,5,0.00
5,6,964.32
5,7,309.76
6,1,2144.82
6,2,1867.61
6,3,1382.33
6,4,1051.03
6,5,964.32
6,6,0.00
6,7,1263.89
7,1,1046.89
7,2,1347.12
7,3,802.04
7,4,997.48
7,5,309.76
7,6,1263.89
7,7,0.00
