"FromNode","ToNode","State","Frac"
"CAP_GEN_P10002","E_CA_OGSM_6","CA",1.0
"CAP_GEN_P10002","S_CA_Domengine","CA",1.0
"CAP_GEN_P10002","S_CA_Mokelumne River","CA",1.0
"CAP_GEN_P10002","TRA_CA","CA",1.0
"CAP_GEN_P1001","E_OK_OGSM_3","KS",0.18149125105422637
"CAP_GEN_P1001","E_OK_OGSM_3","MO",0.4284419836275704
"CAP_GEN_P1001","E_OK_OGSM_3","OK",0.07024806224241624
"CAP_GEN_P1001","E_OK_OGSM_3","IL",0.3081924086453208
"CAP_GEN_P1001","E_OK_OGSM_3","IN",0.0116262944304661
"CAP_GEN_P1001","S_IL_Mount Simon","IL",0.9155553800918544
"CAP_GEN_P1001","S_IL_Mount Simon","IN",0.08444461990814553
"CAP_GEN_P1001","E_IN_OGSM_1","IN",1.0
"CAP_GEN_P1001","TRA_IL","IL",0.9296384567876345
"CAP_GEN_P1001","TRA_IL","IN",0.0703615432123655
"CAP_GEN_P10034","E_CA_OGSM_6","CA",1.0
"CAP_GEN_P10034","S_CA_Winters","CA",1.0
"CAP_GEN_P10034","S_CA_Domengine","CA",1.0
"CAP_GEN_P10034","TRA_CA","CA",1.0
"CAP_GEN_P1004","E_MS_OGSM_2","TN",0.21565863253755027
"CAP_GEN_P1004","E_MS_OGSM_2","KY",0.2020626116049946
"CAP_GEN_P1004","E_MS_OGSM_2","MS",0.450781650468354
"CAP_GEN_P1004","E_MS_OGSM_2","IN",0.13149710538910117
"CAP_GEN_P1004","E_IN_OGSM_1","IN",1.0
"CAP_GEN_P1004","E_IL_OGSM_1","IL",0.8175180441690896
"CAP_GEN_P1004","E_IL_OGSM_1","IN",0.18248195583091037
"CAP_GEN_P1004","TRA_KY","KY",0.27058504875310097
"CAP_GEN_P1004","TRA_KY","IN",0.729414951246899
"CAP_GEN_P10043","E_MS_OGSM_2","MD",0.046998651579238195
"CAP_GEN_P10043","E_MS_OGSM_2","NJ",0.0003679767025853041
"CAP_GEN_P10043","E_MS_OGSM_2","DE",0.026510388076337675
"CAP_GEN_P10043","E_MS_OGSM_2","GA",0.08762164815077737
"CAP_GEN_P10043","E_MS_OGSM_2","VA",0.3039240723290071
"CAP_GEN_P10043","E_MS_OGSM_2","NC",0.1913338368150099
"CAP_GEN_P10043","E_MS_OGSM_2","DC",0.006716792445124158
"CAP_GEN_P10043","E_MS_OGSM_2","AL",0.20734849331877878
"CAP_GEN_P10043","E_MS_OGSM_2","TN",0.01647819735633223
"CAP_GEN_P10043","E_MS_OGSM_2","MS",0.11269994322680942
"CAP_GEN_P10043","E_PA_OGSM_1","NJ",0.0031686944640043576
"CAP_GEN_P10043","E_PA_OGSM_1","PA",0.936551338668396
"CAP_GEN_P10043","E_PA_OGSM_1","DE",0.060279966867599594
"CAP_GEN_P10043","S_MD_Oriskany_1","WV",0.021206538249371458
"CAP_GEN_P10043","S_MD_Oriskany_1","NJ",0.0021766616130891483
"CAP_GEN_P10043","S_MD_Oriskany_1","PA",0.41886570322626493
"CAP_GEN_P10043","S_MD_Oriskany_1","DE",0.09436216658389351
"CAP_GEN_P10043","S_MD_Oriskany_1","MD",0.463388930327381
"CAP_GEN_P10043","TRA_PA","NJ",0.01917037517614997
"CAP_GEN_P10043","TRA_PA","PA",0.9808296248238499
"CAP_GEN_P1007","E_MS_OGSM_2","TN",0.19967196838245976
"CAP_GEN_P1007","E_MS_OGSM_2","KY",0.14522326899832902
"CAP_GEN_P1007","E_MS_OGSM_2","MS",0.3801647958480207
"CAP_GEN_P1007","E_MS_OGSM_2","IN",0.27493996677119054
"CAP_GEN_P1007","E_IN_OGSM_1","IN",1.0
"CAP_GEN_P1007","S_IL_Mount Simon","IL",0.4363921720259595
"CAP_GEN_P1007","S_IL_Mount Simon","IN",0.5636078279740405
"CAP_GEN_P1007","TRA_KY","KY",0.10738823122791268
"CAP_GEN_P1007","TRA_KY","IN",0.8926117687720873
"CAP_GEN_P1008","E_MS_OGSM_2","TN",0.25643094585821535
"CAP_GEN_P1008","E_MS_OGSM_2","KY",0.22847735048648057
"CAP_GEN_P1008","E_MS_OGSM_2","AL",0.04441421367680991
"CAP_GEN_P1008","E_MS_OGSM_2","MS",0.4466473300238986
"CAP_GEN_P1008","E_MS_OGSM_2","IN",0.02403015995459558
"CAP_GEN_P1008","E_KY_OGSM_1","KY",0.6585978146478948
"CAP_GEN_P1008","E_KY_OGSM_1","IN",0.3414021853521052
"CAP_GEN_P1008","E_IN_OGSM_1","KY",0.004356786449757767
"CAP_GEN_P1008","E_IN_OGSM_1","IN",0.9956432135502422
"CAP_GEN_P1008","TRA_KY","KY",0.8938663066522247
"CAP_GEN_P1008","TRA_KY","IN",0.10613369334777527
"CAP_GEN_P10099","E_MS_OGSM_2","MD",0.04494939263629681
"CAP_GEN_P10099","E_MS_OGSM_2","NJ",0.0036424754679111886
"CAP_GEN_P10099","E_MS_OGSM_2","DE",0.022028216989026628
