Year,FixedAdjC,VarAdjC,FixedAdjT,VarAdjT,FixedAdjS,VarAdjS,HRAdj,PlantType
2012,3,3,1,1,1,1,3,1
2013,3,3,1,1,1,1,3,1
2014,3,3,1,1,1,1,3,1
2015,3,3,1,1,1,1,3,1
2016,3,3,1,1,1,1,3,1
2017,3,3,1,1,1,1,3,1
2018,3,3,1,1,1,1,3,1
2019,3,3,1,1,1,1,3,1
2020,3,3,1,1,1,1,3,1
2021,3,3,1,1,1,1,3,1
2022,3,3,1,1,1,1,3,1
2023,3,3,1,1,1,1,3,1
2024,3,3,1,1,1,1,3,1
2025,3,3,1,1,1,1,3,1
2026,3,3,1,1,1,1,3,1
2027,0.524,1.05,1,1,1,1,1.015,1
2028,0.524,1.05,1,1,1,1,1.015,1
2029,1.048,1.05,1,1,1,1,1.015,1
2030,1.048,1.05,1,1,1,1,1.015,1
2031,1.048,1.05,1,1,1,1,1.015,1
2032,1.048,1.05,1,1,1,1,1.015,1
2033,1.048,1.05,1,1,1,1,1.015,1
2034,1.048,1.05,1,1,1,1,1.015,1
2035,1.048,1.05,1,1,1,1,1.015,1
2036,1.048,1.05,1,1,1,1,1.015,1
2037,1.048,1.05,1,1,1,1,1.015,1
2038,1.048,1.05,1,1,1,1,1.015,1
2039,1.048,1.05,1,1,1,1,1.015,1
2040,1.048,1.05,1,1,1,1,1.015,1
2041,1.048,1.05,1,1,1,1,1.015,1
2042,1.048,1.05,1,1,1,1,1.015,1
2043,1.048,1.05,1,1,1,1,1.015,1
2044,1.048,1.05,1,1,1,1,1.015,1
2045,1.048,1.05,1,1,1,1,1.015,1
2046,1.048,1.05,1,1,1,1,1.015,1
2047,1.048,1.05,1,1,1,1,1.015,1
2048,1.048,1.05,1,1,1,1,1.015,1
2049,1.048,1.05,1,1,1,1,1.015,1
2050,1.048,1.05,1,1,1,1,1.015,1
2012,1,1,1,1,1,1,1,2
2013,1,1,1,1,1,1,1,2
2014,1,1,1,1,1,1,1,2
2015,1,1,1,1,1,1,1,2
2016,1,1,1,1,1,1,1,2
2017,1,1,1,1,1,1,1,2
2018,1,1,1,1,1,1,1,2
2019,1,1,1,1,1,1,1,2
2020,1,1,1,1,1,1,1,2
2021,1,1,1,1,1,1,1,2
