"Start Name","End Name","Start Point","End Point","Distance","Route"
"N_2","N_50","POINT (-93.63888889 35.78333333)","POINT (-96.68571429 35.81428571)","169.59321375288658","MULTILINESTRING ((-93.63888889 35.78333340141076, -93.94342224032421 35.78994465149379), (-93.94342224032421 35.78994465149379, -94.24800542231675 35.7957749103623), (-94.24800542231675 35.7957749103623, -94.55263218935714 35.800824009193015), (-94.55263218935714 35.800824009193015, -94.85729628945445 35.80509180170989), (-94.85729628945445 35.80509180170989, -95.16199146601579 35.80857816421964), (-95.16199146601579 35.80857816421964, -95.46671145861626 35.8112829956414), (-95.46671145861626 35.8112829956414, -95.77145000377016 35.813206217531324), (-95.77145000377016 35.813206217531324, -96.07620083570293 35.8143477741017), (-96.07620083570293 35.8143477741017, -96.38095768712401 35.814707632234196), (-96.38095768712401 35.814707632234196, -96.68571429000002 35.814285781488095))"
"N_2","N_55","POINT (-93.63888889 35.78333333)","POINT (-94.77272727 38.56363636)","203.24537171544273","MULTILINESTRING ((-93.63888889 35.78333340141076, -93.7485235237844 36.06200925789744), (-93.7485235237844 36.06200925789744, -93.85896755501905 36.340528097505036), (-93.85896755501905 36.340528097505036, -93.97022967852911 36.618894949674335), (-93.97022967852911 36.618894949674335, -94.08231870945701 36.897114873758454), (-94.08231870945701 36.897114873758454, -94.1952435852595 37.175192960641986), (-94.1952435852595 37.175192960641986, -94.30901336774214 37.453134334398875), (-94.30901336774214 37.453134334398875, -94.42363724513253 37.730944153989824), (-94.42363724513253 37.730944153989824, -94.53912453419282 38.0086276150022), (-94.53912453419282 38.0086276150022, -94.65548468237212 38.286189951433265), (-94.65548468237212 38.286189951433265, -94.77272727000002 38.56363643751963))"
"N_2","N_83","POINT (-93.63888889 35.78333333)","POINT (-91.65384615 38.32820513)","207.83162166783433","MULTILINESTRING ((-93.63888889 35.78333340141076, -93.44639772525368 36.03942183494808), (-93.44639772525368 36.03942183494808, -93.25260199825632 36.29515006994711), (-93.25260199825632 36.29515006994711, -93.05749003018768 36.55051979744675), (-93.05749003018768 36.55051979744675, -92.86105002743365 36.8055326774532), (-92.86105002743365 36.8055326774532, -92.66327008068376 37.06019033893617), (-92.66327008068376 37.06019033893617, -92.46413816403468 37.31449437981379), (-92.46413816403468 37.31449437981379, -92.26364213410017 37.568446366926935), (-92.26364213410017 37.568446366926935, -92.06176972912843 37.82204783600216), (-92.06176972912843 37.82204783600216, -91.85850856812763 38.07530029160361), (-91.85850856812763 38.07530029160361, -91.65384615 38.32820520707307))"
"N_2","N_48","POINT (-93.63888889 35.78333333)","POINT (-91.11842105 34.23947368)","177.78487567516902","MULTILINESTRING ((-93.63888889 35.78333340141076, -93.38227099556616 35.63150012560107), (-93.38227099556616 35.63150012560107, -93.12667554190746 35.47909408662981), (-93.12667554190746 35.47909408662981, -92.87210010632754 35.32611739907795), (-92.87210010632754 35.32611739907795, -92.61854222687067 35.172572147508355), (-92.61854222687067 35.172572147508355, -92.36599940327287 35.018460386465065), (-92.36599940327287 35.018460386465065, -92.1144690979026 34.86378414047523), (-92.1144690979026 34.86378414047523, -91.863948736691 34.70854540405342), (-91.863948736691 34.70854540405342, -91.61443571005161 34.55274614170881), (-91.61443571005161 34.55274614170881, -91.36592737378955 34.396388287954316), (-91.36592737378955 34.396388287954316, -91.11842105 34.23947374731789))"
"N_2","N_32","POINT (-93.63888889 35.78333333)","POINT (-94.48684211 32.85789474)","208.82937737483925","MULTILINESTRING ((-93.63888889 35.78333340141076, -93.72660345497256 35.491487423289044), (-93.72660345497256 35.491487423289044, -93.81364990094127 35.19950254842574), (-93.81364990094127 35.19950254842574, -93.9000356880993 34.90737263849801), (-93.9000356880993 34.90737263849801, -93.98576816819404 34.6150915964285), (-93.98576816819404 34.6150915964285, -94.07085458644816 34.322653364256425), (-94.07085458644816 34.322653364256425, -94.15530208344093 34.030051921058465), (-94.15530208344093 34.030051921058465, -94.23911769695097 33.73728128091716), (-94.23911769695097 33.73728128091716, -94.32230836376083 33.444335490933476), (-94.32230836376083 33.444335490933476, -94.40488092142469 33.151208629283104), (-94.40488092142469 33.151208629283104, -94.48684211 32.85789480331259))"
"N_1","N_92","POINT (-105.5769231 38.52051282)","POINT (-106.6764706 41.7)","228.72197864240738","MULTILINESTRING ((-105.5769231 38.52051289743883, -105.6825630133983 38.8387115445478), (-105.6825630133983 38.8387115445478, -105.78912892710125 39.15683023187), (-105.78912892710125 39.15683023187, -105.89663279861053 39.4748779160747), (-105.89663279861053 39.4748779160747, -106.00508678724619 39.792863662456554), (-106.00508678724619 39.792863662456554, -106.11450325830897 40.11079664991324), (-106.11450325830897 40.11079664991324, -106.22489478734255 40.42868617609816), (-106.22489478734255 40.42868617609816, -106.33627416449878 40.74654166275794), (-106.33627416449878 40.74654166275794, -106.44865439900867 41.06437266126394), (-106.44865439900867 41.06437266126394, -106.56204872376232 41.38218885834893), (-106.56204872376232 41.38218885834893, -106.67647060000002 41.700000082059454))"
"N_1","N_15","POINT (-105.5769231 38.52051282)","POINT (-104.3717949 35.34102564)","269.25401013572093","MULTILINESTRING ((-105.5769231 38.52051289743883, -105.04116984493228 38.299054310576366), (-105.04116984493228 38.299054310576366, -104.50865444159612 38.07527249892881), (-104.50865444159612 38.07527249892881, -104.38879963215938 37.756949577352664), (-104.38879963215938 37.756949577352664, -104.26997182123233 37.43848728798716), (-104.26997182123233 37.43848728798716, -104.15215823191653 37.11987747625015), (-104.15215823191653 37.11987747625015, -104.03534629202208 36.80111206054347), (-104.03534629202208 36.80111206054347, -104.32159138265028 36.390108888404285), (-104.32159138265028 36.390108888404285, -104.20519200058786 36.071377138610295), (-104.20519200058786 36.071377138610295, -104.08976844096955 35.752460356352756), (-104.08976844096955 35.752460356352756, -104.37179490000001 35.341025710283965))"
"N_1","N_54","POINT (-105.5769231 38.52051282)","POINT (-102.5540541 37.84864865)","169.54654481789598","MULTILINESTRING ((-105.5769231 38.52051289743883, -105.27217927250675 38.456689183843416), (-105.27217927250675 38.456689183843416, -104.9679688646571 38.39211309266704), (-104.9679688646571 38.39211309266704, -104.66429669517449 38.326786522972476), (-104.66429669517449 38.326786522972476, -104.36116752178076 38.26071138414069), (-104.36116752178076 38.26071138414069, -104.05858604100297 38.19388959547873), (-104.05858604100297 38.19388959547873, -103.7565568879955 38.126323085829064), (-103.7565568879955 38.126323085829064, -103.45508463637698 38.05801379317939), (-103.45508463637698 38.05801379317939, -103.15417379808233 37.98896366427337), (-103.15417379808233 37.98896366427337, -102.85382882322929 37.919174654222886), (-102.85382882322929 37.919174654222886, -102.5540541 37.84864872612075))"
"N_1","N_81","POINT (-105.5769231 38.52051282)","POINT (-103.5238095 41.39047619)","245.93291728640918","MULTILINESTRING ((-105.5769231 38.52051289743883, -105.37889022215664 38.80886501114618), (-105.37889022215664 38.80886501114618, -105.17928622441693 39.09690606351213), (-105.17928622441693 39.09690606351213, -104.6012672542675 39.23024728719374), (-104.6012672542675 39.23024728719374, -104.39740645810456 39.51704951015565), (-104.39740645810456 39.51704951015565, -104.19192144032668 39.8035432548914), (-104.19192144032668 39.8035432548914, -103.98479465685668 40.08973205007264), (-103.98479465685668 40.08973205007264, -104.15709725092157 40.53257396074195), (-104.15709725092157 40.53257396074195, -103.94770215915916 40.81882565505053), (-103.94770215915916 40.81882565505053, -103.7366124246308 41.10479188245671), (-103.7366124246308 41.10479188245671, -103.52380950000001 41.390476271733725))"
"N_1","N_46","POINT (-105.5769231 38.52051282)","POINT (-108.6891892 39.28108108)","188.83257541946205","MULTILINESTRING ((-105.5769231 38.52051289743883, -105.88519768004565 38.600068098131615), (-105.88519768004565 38.600068098131615, -106.194140290492 38.67885213102174), (-106.194140290492 38.67885213102174, -106.50374655399133 38.756862642072115), (-106.50374655399133 38.756862642072115, -106.81401201802048 38.83409728282435), (-106.81401201802048 38.83409728282435, -107.1249321548662 38.910553710866374), (-107.1249321548662 38.910553710866374, -107.43650236162858 38.98622959030318), (-107.43650236162858 38.98622959030318, -107.74871796024213 39.061122592230554), (-107.74871796024213 39.061122592230554, -108.06157419751479 39.135230395211124), (-108.06157419751479 39.135230395211124, -108.47028418410558 38.96897062352454), (-108.47028418410558 38.96897062352454, -108.6891892 39.28108115879323))"
