"IGRP","PLANT_NAME","SITE_NAME","PLANT_CODE","EMM_REGION","FuelRegion","STATE","LAT","LON","UNIT_ID","ECPT","SCAP","HeatRate","CF","R_CO2","CO2_EMIS","CAP_COST","VAR_COST","ACTIVE","SOURCE_TYPE","HR_ADJ"
1083.00,"Cayuga","CAP_GEN_P1001",1001.00,4.00,5.00,"IN",39.92,-87.42,"1","C4",500.00,10055.00,0.59,0.90,4.06,1892.96,7.14,,"GEN",
1086.00,"Cayuga","CAP_GEN_P1001",1001.00,4.00,5.00,"IN",39.92,-87.42,"2","C4",495.00,10098.00,0.53,0.90,4.04,1842.68,7.23,,"GEN",
5397.00,"Energy Center Dover","CAP_GEN_P10030",10030.00,10.00,10.00,"DE",39.15,-75.54,"COG1","EC",59.00,8931.00,0.16,0.90,0.24,159.96,10.00,,"GEN",
5399.00,"Gilroy Power Plant","CAP_GEN_P10034",10034.00,21.00,23.00,"CA",37.00,-121.53,"GEN1","EC",115.00,9105.00,0.09,0.90,0.48,161.12,3.70,,"GEN",
1095.00,"Edwardsport","CAP_GEN_P1004",1004.00,4.00,5.00,"IN",38.80,-87.24,"CT1","IG",174.90,11338.00,0.71,0.90,1.60,9999.00,9999.00,,"GEN",
1096.00,"Edwardsport","CAP_GEN_P1004",1004.00,4.00,5.00,"IN",38.80,-87.24,"CT2","IG",174.90,11338.00,0.71,0.90,1.60,9999.00,9999.00,,"GEN",
1097.00,"Edwardsport","CAP_GEN_P1004",1004.00,4.00,5.00,"IN",38.80,-87.24,"ST","IG",245.20,11338.00,0.71,0.90,2.24,9999.00,9999.00,,"GEN",
5401.00,"Logan Generating Pla","CAP_GEN_P10043",10043.00,10.00,2.00,"NJ",39.79,-75.40,"GEN1","B7",219.00,12490.00,0.50,0.90,2.21,558.80,9.07,,"GEN",
1100.00,"Noblesville","CAP_GEN_P1007",1007.00,4.00,5.00,"IN",40.09,-85.97,"1","EC",264.00,9633.00,0.51,0.90,1.18,61.77,2.42,,"GEN",
5422.00,"Pedricktown Cogen Pl","CAP_GEN_P10099",10099.00,10.00,2.00,"NJ",39.76,-75.42,"GEN1","EC",112.80,9593.00,0.04,0.90,0.50,139.58,3.59,,"GEN",
5425.00,"John B Rich Memorial","CAP_GEN_P10113",10113.00,10.00,3.00,"PA",40.79,-76.19,"GEN1","B3",80.00,14053.00,0.83,0.90,0.90,348.02,11.43,,"GEN",
1112.00,"F B Culley","CAP_GEN_P1012",1012.00,4.00,5.00,"IN",37.91,-87.32,"2","C4",90.00,11765.00,0.50,0.90,0.85,318.33,11.96,,"GEN",
1113.00,"F B Culley","CAP_GEN_P1012",1012.00,4.00,5.00,"IN",37.91,-87.32,"3","B5",270.00,10844.00,0.61,0.90,2.36,643.83,8.49,,"GEN",
5434.00,"Colver Green Energy","CAP_GEN_P10143",10143.00,10.00,3.00,"PA",40.55,-78.80,"COLV","B3",110.00,11293.00,0.73,0.90,1.00,388.63,10.81,,"GEN",
5436.00,"Grant Town Power Pla","CAP_GEN_P10151",10151.00,11.00,11.00,"WV",39.56,-80.16,"GEN1","B3",80.00,13754.00,0.89,0.90,0.88,307.17,12.18,,"GEN",
5439.00,"Fresno Cogen Partner","CAP_GEN_P10156",10156.00,21.00,23.00,"CA",36.61,-120.10,"GEN2","EC",6.00,10291.00,9.0e-03,0.90,0.02,9.89,10.07,,"GEN",
5441.00,"Fresno Cogen Partner","CAP_GEN_P10156",10156.00,21.00,23.00,"CA",36.61,-120.10,"GEN4","EC",52.20,10291.00,9.0e-03,0.90,0.24,84.07,10.07,,"GEN",
1116.00,"Butler-Warner Genera","CAP_GEN_P1016",1016.00,14.00,13.00,"NC",35.09,-78.82,"1","EC",20.00,12999.00,0.01,0.90,0.12,39.22,2.69,,"GEN",
1119.00,"Butler-Warner Genera","CAP_GEN_P1016",1016.00,14.00,13.00,"NC",35.09,-78.82,"2","EC",40.00,12999.00,0.01,0.90,0.24,39.22,2.69,,"GEN",
1121.00,"Butler-Warner Genera","CAP_GEN_P1016",1016.00,14.00,13.00,"NC",35.09,-78.82,"6","EC",60.00,12999.00,0.01,0.90,0.36,39.22,2.69,,"GEN",
1122.00,"Butler-Warner Genera","CAP_GEN_P1016",1016.00,14.00,13.00,"NC",35.09,-78.82,"9","EC",65.00,12999.00,0.01,0.90,0.39,127.46,2.69,,"GEN",
5445.00,"Carson Cogeneration","CAP_GEN_P10169",10169.00,22.00,23.00,"CA",33.87,-118.24,"GEN1","EC",49.29,9288.00,0.03,0.90,0.21,103.01,10.02,,"GEN",
5453.00,"EPCOR_ Castleton Fac","CAP_GEN_P10190",10190.00,9.00,2.00,"NY",42.53,-73.74,"GEN1","EC",67.70,9452.00,0.19,0.90,0.29,119.48,4.47,,"GEN",
5454.00,"EPCOR_ Castleton Fac","CAP_GEN_P10190",10190.00,9.00,2.00,"NY",42.53,-73.74,"GEN2","EC",25.00,9452.00,0.19,0.90,0.10,69.46,4.47,,"GEN",
1126.00,"Crawfordsville Power","CAP_GEN_P1024",1024.00,4.00,5.00,"IN",40.04,-86.89,"4","H1",10.60,18084.00,0.50,0.90,0.15,41.22,10.00,,"GEN",
5476.00,"King City Power Plan","CAP_GEN_P10294",10294.00,21.00,23.00,"CA",36.22,-121.12,"GTG","EC",111.00,8625.00,0.08,0.90,0.44,134.10,3.64,,"GEN",
5479.00,"Bellingham Cogenerat","CAP_GEN_P10307",10307.00,7.00,1.00,"MA",42.09,-71.48,"CT1","EC",204.00,8565.00,0.05,0.90,0.81,165.50,2.56,,"GEN",
5480.00,"Bellingham Cogenerat","CAP_GEN_P10307",10307.00,7.00,1.00,"MA",42.09,-71.48,"ST1","EC",60.00,8565.00,0.08,0.90,0.23,97.35,2.56,,"GEN",
5481.00,"Sayreville Cogenerat","CAP_GEN_P10308",10308.00,10.00,2.00,"NJ",40.43,-74.34,"ST1","EC",292.00,8253.00,0.22,0.90,1.12,58.21,5.24,,"GEN",
5489.00,"Marathon Bay Area Co","CAP_GEN_P10342",10342.00,21.00,23.00,"CA",38.02,-122.05,"TG1","EC",103.50,10285.00,0.56,0.90,0.49,34.77,7.50,,"GEN",
5490.00,"Foster Wheeler Mt Ca","CAP_GEN_P10343",10343.00,10.00,3.00,"PA",40.81,-76.45,"TG1","B3",43.00,15491.00,0.50,0.90,0.53,125.91,10.00,,"GEN",
1139.00,"Whitewater Valley","CAP_GEN_P1040",1040.00,11.00,5.00,"IN",39.80,-84.89,"1","B1",34.70,13425.00,0.50,0.90,0.37,106.71,10.00,,"GEN",
1140.00,"Whitewater Valley","CAP_GEN_P1040",1040.00,11.00,5.00,"IN",39.80,-84.89,"2","B1",65.00,13279.00,0.50,0.90,0.69,284.07,12.69,,"GEN",
5619.00,"Brush Generation Fac","CAP_GEN_P10682",10682.00,24.00,20.00,"CO",40.24,-103.63,"GT1","EC",25.00,11014.00,0.04,0.90,0.12,61.19,4.03,,"GEN",
5621.00,"Brush Generation Fac","CAP_GEN_P10682",10682.00,24.00,20.00,"CO",40.24,-103.63,"GT3","EC",242.00,11014.00,0.04,0.90,1.24,78.32,4.03,,"GEN",
5631.00,"Selkirk Cogen","CAP_GEN_P10725",10725.00,9.00,2.00,"NY",42.57,-73.85,"GEN1","EC",93.50,9732.00,0.12,0.90,0.42,52.70,13.56,,"GEN",
5632.00,"Selkirk Cogen","CAP_GEN_P10725",10725.00,9.00,2.00,"NY",42.57,-73.85,"GEN5","EC",26.30,9732.00,0.12,0.90,0.11,94.10,13.56,,"GEN",
5633.00,"Masspower","CAP_GEN_P10726",10726.00,7.00,1.00,"MA",42.15,-72.52,"GEN1","EC",245.00,8780.00,0.11,0.90,1.00,323.50,2.69,,"GEN",
1162.00,"Prairie Creek","CAP_GEN_P1073",1073.00,3.00,8.00,"IA",41.94,-91.63,"1","C1",4.20,8800.00,1.00,0.90,0.02,19.00,10.00,,"GEN",
1164.00,"Prairie Creek","CAP_GEN_P1073",1073.00,3.00,8.00,"IA",41.94,-91.63,"3","C1",29.30,12758.00,0.50,0.90,0.30,93.51,10.00,,"GEN",
