IGRP,PLANT_NAME,SITE_NAME,PLANT_CODE,EMM_REGION,FuelRegion,STATE,LAT,LON,UNIT_ID,ECPT,SCAP,HeatRate,CF,R_CO2,CO2_EMIS,CAP_COST,VAR_COST,ACTIVE,SOURCE_TYPE,OGSM_Region
1083,Cayuga,CAP_GEN_P1001,1001,4,5,IN,39.92,-87.42,1,C4,500,10055,0.59,0.9,4.06,1892.96,7.14,,GEN,1
1086,Cayuga,CAP_GEN_P1001,1001,4,5,IN,39.92,-87.42,2,C4,495,10098,0.53,0.9,4.04,1842.68,7.23,,GEN,1
5397,Energy Center Dover,CAP_GEN_P10030,10030,10,10,DE,39.15,-75.54,COG1,EC,59,8931,0.16,0.9,0.24,159.96,10,,GEN,1
5399,Gilroy Power Plant,CAP_GEN_P10034,10034,21,23,CA,37,-121.53,GEN1,EC,115,9105,0.09,0.9,0.48,161.12,3.7,,GEN,6
1095,Edwardsport,CAP_GEN_P1004,1004,4,5,IN,38.8,-87.24,CT1,IG,174.9,11338,0.71,0.9,1.6,9999,9999,,GEN,1
1096,Edwardsport,CAP_GEN_P1004,1004,4,5,IN,38.8,-87.24,CT2,IG,174.9,11338,0.71,0.9,1.6,9999,9999,,GEN,1
1097,Edwardsport,CAP_GEN_P1004,1004,4,5,IN,38.8,-87.24,ST,IG,245.2,11338,0.71,0.9,2.24,9999,9999,,GEN,1
5401,Logan Generating Pla,CAP_GEN_P10043,10043,10,2,NJ,39.79,-75.4,GEN1,B7,219,12490,0.5,0.9,2.21,558.8,9.07,,GEN,1
1100,Noblesville,CAP_GEN_P1007,1007,4,5,IN,40.09,-85.97,1,EC,264,9633,0.51,0.9,1.18,61.77,2.42,,GEN,1
5422,Pedricktown Cogen Pl,CAP_GEN_P10099,10099,10,2,NJ,39.76,-75.42,GEN1,EC,112.8,9593,0.04,0.9,0.5,139.58,3.59,,GEN,1
5425,John B Rich Memorial,CAP_GEN_P10113,10113,10,3,PA,40.79,-76.19,GEN1,B3,80,14053,0.83,0.9,0.9,348.02,11.43,,GEN,1
1112,F B Culley,CAP_GEN_P1012,1012,4,5,IN,37.91,-87.32,2,C4,90,11765,0.5,0.9,0.85,318.33,11.96,,GEN,1
1113,F B Culley,CAP_GEN_P1012,1012,4,5,IN,37.91,-87.32,3,B5,270,10844,0.61,0.9,2.36,643.83,8.49,,GEN,1
5434,Colver Green Energy,CAP_GEN_P10143,10143,10,3,PA,40.55,-78.8,COLV,B3,110,11293,0.73,0.9,1,388.63,10.81,,GEN,1
5436,Grant Town Power Pla,CAP_GEN_P10151,10151,11,11,WV,39.56,-80.16,GEN1,B3,80,13754,0.89,0.9,0.88,307.17,12.18,,GEN,1
5439,Fresno Cogen Partner,CAP_GEN_P10156,10156,21,23,CA,36.61,-120.1,GEN2,EC,6,10291,9.00E-03,0.9,0.02,9.89,10.07,,GEN,6
5441,Fresno Cogen Partner,CAP_GEN_P10156,10156,21,23,CA,36.61,-120.1,GEN4,EC,52.2,10291,9.00E-03,0.9,0.24,84.07,10.07,,GEN,6
1116,Butler-Warner Genera,CAP_GEN_P1016,1016,14,13,NC,35.09,-78.82,1,EC,20,12999,0.01,0.9,0.12,39.22,2.69,,GEN,1
1119,Butler-Warner Genera,CAP_GEN_P1016,1016,14,13,NC,35.09,-78.82,2,EC,40,12999,0.01,0.9,0.24,39.22,2.69,,GEN,1
1121,Butler-Warner Genera,CAP_GEN_P1016,1016,14,13,NC,35.09,-78.82,6,EC,60,12999,0.01,0.9,0.36,39.22,2.69,,GEN,1
1122,Butler-Warner Genera,CAP_GEN_P1016,1016,14,13,NC,35.09,-78.82,9,EC,65,12999,0.01,0.9,0.39,127.46,2.69,,GEN,1
5445,Carson Cogeneration,CAP_GEN_P10169,10169,22,23,CA,33.87,-118.24,GEN1,EC,49.29,9288,0.03,0.9,0.21,103.01,10.02,,GEN,6
5453,EPCOR_ Castleton Fac,CAP_GEN_P10190,10190,9,2,NY,42.53,-73.74,GEN1,EC,67.7,9452,0.19,0.9,0.29,119.48,4.47,,GEN,1
5454,EPCOR_ Castleton Fac,CAP_GEN_P10190,10190,9,2,NY,42.53,-73.74,GEN2,EC,25,9452,0.19,0.9,0.1,69.46,4.47,,GEN,1
1126,Crawfordsville Power,CAP_GEN_P1024,1024,4,5,IN,40.04,-86.89,4,H1,10.6,18084,0.5,0.9,0.15,41.22,10,,GEN,1
5476,King City Power Plan,CAP_GEN_P10294,10294,21,23,CA,36.22,-121.12,GTG,EC,111,8625,0.08,0.9,0.44,134.1,3.64,,GEN,6
5479,Bellingham Cogenerat,CAP_GEN_P10307,10307,7,1,MA,42.09,-71.48,CT1,EC,204,8565,0.05,0.9,0.81,165.5,2.56,,GEN,1
5480,Bellingham Cogenerat,CAP_GEN_P10307,10307,7,1,MA,42.09,-71.48,ST1,EC,60,8565,0.08,0.9,0.23,97.35,2.56,,GEN,1
5481,Sayreville Cogenerat,CAP_GEN_P10308,10308,10,2,NJ,40.43,-74.34,ST1,EC,292,8253,0.22,0.9,1.12,58.21,5.24,,GEN,1
5489,Marathon Bay Area Co,CAP_GEN_P10342,10342,21,23,CA,38.02,-122.05,TG1,EC,103.5,10285,0.56,0.9,0.49,34.77,7.5,,GEN,6
5490,Foster Wheeler Mt Ca,CAP_GEN_P10343,10343,10,3,PA,40.81,-76.45,TG1,B3,43,15491,0.5,0.9,0.53,125.91,10,,GEN,1
1139,Whitewater Valley,CAP_GEN_P1040,1040,11,5,IN,39.8,-84.89,1,B1,34.7,13425,0.5,0.9,0.37,106.71,10,,GEN,1
1140,Whitewater Valley,CAP_GEN_P1040,1040,11,5,IN,39.8,-84.89,2,B1,65,13279,0.5,0.9,0.69,284.07,12.69,,GEN,1
