"ID","SITE_NAME","iGRP","FuelRegion","TotalCap","ORD","SOURCE_TYPE","LON","LAT"
1,"DAC_Fuel_1",404401,1,1.00,1,"DAC",-70.66,44.24
2,"DAC_Fuel_2",404402,2,1.00,1,"DAC",-75.40,42.59
3,"DAC_Fuel_3",404403,3,1.00,1,"DAC",-77.80,40.87
4,"DAC_Fuel_4",404404,4,1.00,1,"DAC",-82.78,40.28
5,"DAC_Fuel_5",404405,5,1.00,1,"DAC",-87.00,41.74
6,"DAC_Fuel_6",404406,6,1.00,1,"DAC",-90.00,44.63
7,"DAC_Fuel_7",404407,7,1.00,1,"DAC",-98.14,46.06
8,"DAC_Fuel_8",404408,8,1.00,1,"DAC",-97.13,41.75
9,"DAC_Fuel_9",404409,9,1.00,1,"DAC",-95.67,38.42
10,"DAC_Fuel_10",404410,10,1.00,1,"DAC",-76.58,39.05
11,"DAC_Fuel_11",404411,11,1.00,1,"DAC",-80.61,38.64
12,"DAC_Fuel_12",404412,12,1.00,1,"DAC",-78.85,37.51
13,"DAC_Fuel_13",404413,13,1.00,1,"DAC",-79.97,34.92
14,"DAC_Fuel_14",404414,14,1.00,1,"DAC",-83.45,32.65
15,"DAC_Fuel_15",404415,15,1.00,1,"DAC",-82.49,28.65
16,"DAC_Fuel_16",404416,16,1.00,1,"DAC",-85.81,36.67
17,"DAC_Fuel_17",404417,17,1.00,1,"DAC",-88.18,32.77
18,"DAC_Fuel_18",404418,18,1.00,1,"DAC",-97.41,32.56
19,"DAC_Fuel_19",404419,19,1.00,1,"DAC",-110.30,45.21
20,"DAC_Fuel_20",404420,20,1.00,1,"DAC",-111.39,39.22
21,"DAC_Fuel_21",404421,21,1.00,1,"DAC",-108.78,34.35
22,"DAC_Fuel_22",404422,22,1.00,1,"DAC",-120.50,45.39
23,"DAC_Fuel_23",404423,23,1.00,1,"DAC",-119.60,37.24
