Facility_Id,SITE_NAME,FuelRegion,Facility_Name,State,LAT,LON,Tot_CO2_Control,
1000343,H2_1000343,5,Lemont Refinery,IL,41.6439,-88.0467,0.132277713,
1001804,H2_1001804,23,MARTINEZ REFINING COMPANY LLC,CA,38.0166,-122.1154,2.336291025,
1001920,H2_1001920,18,Phillips 66 Ponca City Refinery,OK,36.6821,-97.0895,0.417160399,
1002027,H2_1002027,7,"St. Paul Park Refining Company, LLC",MN,44.8506,-93.0021,0.272284201,
1002565,H2_1002565,23,SAN JOAQUIN REFINING CO INC,CA,35.3951,-119.0465,0.083296355,
1003286,H2_1003286,17,Chevron Pascagoula Refinery,MS,30.3437,-88.4938,2.174212711,
1003564,H2_1003564,18,Marathon El Paso Refinery,TX,31.7695,-106.4143,0.149806122,
1003610,H2_1003610,23,CHEVRON PRODS.CO. RICHMOND REFY,CA,37.9388,-122.3965,3.375552759,
1004291,H2_1004291,9,HOLLYFRONTIER EL DORADO REFINING LLC,KS,37.7940,-96.8741,1.430799328,
1004305,H2_1004305,2,Phillips 66 BAYWAY REFINERY,NJ,40.6365,-74.2199,0.293067401,
1004381,H2_1004381,9,"Coffeyville Resources Refining & Marketing, LLC",KS,37.0476,-95.6061,0.013861886,
1005125,H2_1005125,18,CALUMET SHREVPORT REFINING LLC,LA,32.4710,-93.7919,0.132247064,
1005879,H2_1005879,17,HUNT REFINING COMPANY,AL,33.2003,-87.6070,0.485595375,
1006301,H2_1006301,18,BORGER REFINERY,TX,35.7031,-101.3631,2.551017763,
1006395,H2_1006395,23,SAN FRANCISCO REFINERY AT RODEO,CA,38.0436,-122.2532,0.215037299,
1006499,H2_1006499,18,CALUMET LUBRICANTS CO LP CALUMET COTTON VALLEY,LA,32.8006,-93.4128,0.042735413,
1006500,H2_1006500,18,CALUMET LUBRICANTS CO LP,LA,32.5890,-93.5151,0.063198831,
1006671,H2_1006671,19,CHS INC LAUREL REFINERY,MT,45.6592,-108.7678,0.804988616,
1006959,H2_1006959,18,VALERO CORPUS CHRISTI REFINERY EAST PLANT,TX,27.8108,-97.4367,0.899978894,
1006985,H2_1006985,7,Flint Hills Resources Pine Bend Refinery,MN,44.7684,-93.0406,3.455399848,
1007000,H2_1007000,19,ExxonMobil Fuels & Lubricants Company Billings Refinery,MT,45.8139,-108.4333,0.303969054,
1007008,H2_1007008,3,United Refining Company,PA,41.8359,-79.1374,0.110969407,
1007217,H2_1007217,19,SINCLAIR OIL CORPORATION,WY,41.7790,-107.1040,1.528528242,
1007506,H2_1007506,19,PHILLIPS 66 BILLINGS REFINERY,MT,45.7764,-108.4844,0.88176264,
1007661,H2_1007661,18,MARTIN OPERATING PTNR LP,AR,33.3641,-92.7169,0.055979974,
1007739,H2_1007739,19,"Calumet Montana Refining, LLC",MT,47.5236,-111.2942,0.27772784,
1007786,H2_1007786,18,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,OK,34.2057,-97.1042,0.312238937,
1007844,H2_1007844,2,Paulsboro Refining Company LLC,NJ,39.8400,-75.2583,0.048674323,
1007861,H2_1007861,18,LION OIL CO-EL DORADO REFINERY,AR,33.2001,-92.6751,0.061866807,
1007882,H2_1007882,11,ERGON WEST VIRGINIA INC,WV,40.6114,-80.6291,0.025260437,
1007922,H2_1007922,19,HollyFrontier Cheyenne Refining LLC,WY,41.1299,-104.7892,0.118701978,
1007923,H2_1007923,20,SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,CO,39.8056,-104.9444,0.359192018,
1007942,H2_1007942,9,CHS MCPHERSON REFINERY INC.,KS,38.3468,-97.6745,1.000310015,
1007972,H2_1007972,21,"NAVAJO REFINING COMPANY, LLC - Artesia Refinery",NM,32.8486,-104.3944,0.363529299,
1008014,H2_1008014,17,ERGON REFINING INC,MS,32.3880,-90.9002,0.208448787,
1008110,H2_1008110,18,VALERO CORPUS CHRISTI REFINERY,TX,27.8178,-97.4826,0.975687788,
1008271,H2_1008271,16,"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC)",TN,35.0858,-90.0834,0.45944421,
1009080,H2_1009080,18,"Valero Refining - New Orleans, L.L.C.",LA,29.9853,-90.3928,1.418203555,
1011549,H2_1011549,7,Marathon Petroleum Corporation,ND,47.0877,-102.9482,0.018518679,
1000043,H2_1000043,18,Linde Inc Texas City Hydrogen Complex,TX,29.3659,-94.9361,3.911174552,
1002023,H2_1002023,18,Linde Facility 0497,TX,29.8902,-93.9483,1.650498844,
1002041,H2_1002041,20,"Linde Hydrogen, c/o Chevron Refinery",UT,40.8215,-111.9216,0.365569511,
1002042,H2_1002042,4,Matheson - LIMA I PLANT,OH,40.7221,-84.1133,0.21622584,
1002043,H2_1002043,4,Matheson - LIMA II PLANT,OH,40.7221,-84.1133,0.30069392,
1002044,H2_1002044,5,Matheson - LEMONT PLANT,IL,41.6395,-88.1030,1.018882669,
1002072,H2_1002072,18,"LYONDELLBASELL ACETYLS LLC, LA PORTE SYNGAS PLANT",TX,29.7063,-95.0570,2.904155055,
1002120,H2_1002120,5,"LINDE - WHITING, IN 5&6",IN,41.6686,-87.4728,4.821754845,
1002121,H2_1002121,23,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,CA,38.0328,-122.0759,1.428025974,
1002122,H2_1002122,23,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",CA,38.0267,-122.0672,0.236755362,
1002123,H2_1002123,23,AIR PRODUCTS AND CHEMICALS INCORPORATED,CA,38.5297,-121.3989,0.131751793,
1002257,H2_1002257,23,AIR PRODUCTS CARSON HYDROGEN PLANT,CA,33.8128,-118.2314,1.377421831,
1002435,H2_1002435,23,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,CA,33.7808,-118.2411,1.91433103,
1002608,H2_1002608,18,Linde Inc,LA,30.1392,-93.5269,0.557550138,
1002727,H2_1002727,18,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,LA,30.0627,-90.5882,2.143840895,
1002754,H2_1002754,18,AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,LA,30.1082,-90.8840,1.545560567,
1003009,H2_1003009,18,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,LA,30.0283,-89.9011,0.54181973,
1003013,H2_1003013,18,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,LA,30.2389,-93.2819,1.743636875,
1003255,H2_1003255,18,Linde Inc - GEISMAR HYCO FACILITY,LA,30.1994,-91.0133,1.179666119,
1003724,H2_1003724,18,AIR LIQUIDE - CORPUS CHRISTI SMR,TX,27.8139,-97.4723,0.997493806,
1003730,H2_1003730,18,AIR LIQUIDE - FREEPORT HYCO PLANT,TX,28.9804,-95.3840,0.551262965,
1003748,H2_1003748,23,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,CA,38.0480,-122.2569,2.390189832,
1003910,H2_1003910,18,AIR LIQUIDE AMERICA CORP,TX,32.4478,-94.6875,1.08004617,
1004442,H2_1004442,18,Air Products LLC - Corpus Christi,TX,27.8096,-97.4575,0.490482987,
1004586,H2_1004586,18,"Air Products and Chemicals, Inc. - BR SMR",LA,30.4935,-91.1872,2.187046355,
1004962,H2_1004962,15,Ascend Performance Materials LLC,FL,30.5967,-87.2520,0.433526576,
1005156,H2_1005156,22,SOLVAY CHEMICALS INC,WA,46.1370,-122.9825,0.106874065,
1005465,H2_1005465,5,EVONIK CORPORATION,IL,40.5647,-89.7245,0.03153893,
1005809,H2_1005809,16,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,KY,38.3844,-82.5985,0.333791625,
1005852,H2_1005852,5,"Air Products and Chemicals, Inc. - Joliet, IL H2 Plant",IL,41.4138,-88.1835,0.277240163,
1005941,H2_1005941,4,LINDE INC,OH,41.6366,-83.4952,1.24313347,
1006430,H2_1006430,23,"AIR LIQUID LARGE INDUSTRIES US, LP",CA,33.9058,-118.4019,1.509697374,
1006562,H2_1006562,18,LINDE TEXAS CITY,TX,29.3782,-94.9025,1.022203913,
1006711,H2_1006711,18,Air Liquide Large Industries US - SMR,TX,29.6233,-95.0458,1.361885897,
1006732,H2_1006732,23,LINDE ONTARIO CA,CA,34.0626,-117.5293,0.201716251,
1006867,H2_1006867,18,CLEAR LAKE PLANT,TX,29.6258,-95.0616,0.484644163,
1006943,H2_1006943,18,Air Products LLC - Pasadena SMR,TX,29.7162,-95.1944,1.024330106,
1007230,H2_1007230,17,Matheson - SARALAND PLANT,AL,30.7909,-88.0587,0.191956758,
1007253,H2_1007253,22,Air Liquide Hydrogen Plant,WA,48.4677,-122.5540,0.167577013,
1008991,H2_1008991,5,Linde Inc.,MI,43.4309,-84.1573,0.072393074,
1010506,H2_1010506,18,Air Products and Chemicals Inc. Luling SMR Facility,LA,29.9244,-90.3522,1.909012564,
1010625,H2_1010625,5,Air Products and Chemicals Inc./Detroit Hydrogen Facility Marathon Refinery,MI,42.2869,-83.1564,1.065399608,
1010702,H2_1010702,18,La Porte Steam Methane Reformer,TX,29.6515,-95.0536,2.100057981,
1010879,H2_1010879,18,"Linde Inc, St. Charles Facility",LA,30.0006,-90.3950,1.887989594,
1010969,H2_1010969,22,Matheson - Anacortes Hydrogen Plant,WA,48.4659,-122.5654,0.128794002,
1011080,H2_1011080,18,Linde Facility 0379,TX,29.8903,-93.9368,2.242603206,
1011460,H2_1011460,18,Air Products and Chemicals - Norco SMR,LA,30.0169,-90.4087,2.477853032,
1011834,H2_1011834,18,"Olin Blue Cube, Freeport, TX",TX,28.9817,-95.3765,4.33972E-06,
1011900,H2_1011900,2,Praxair Inc,NY,43.0870,-79.0117,0.077786535,
1012904,H2_1012904,4,Matheson - LIMA III PLANT,OH,40.7221,-84.1133,0.298231942,
1013205,H2_1013205,18,Air Products Baytown 3 Facility,TX,29.7520,-94.9092,2.716907167,
