ID,Capacity_MMT,INJ_TYPE,SITE_NAME,T_NODE,EMM_REGION,Fuel_Region,OGSM_Region,State,LAT,LON,SiteMax_MMT,THICKNESS,Dtop,PA,Sdrill,MaxUse,ASMDisc,FormA,FormInjRate,Rdrill,Asdrill,MidDensity,lith_coeff,porosity,DCMW,S2DL,Mwells,ASMWell,ASMWell_Str_D,S3D,Maxprojinjrate,MaxWellInjRate,Inj_W_D,Str_D,Rdepth,Mwells_Rdepth,Rdepth_Cdia_Mwells,Mwells_Rdrill,AS_ASM,FpipeCC,INJ_R,PADepCC,Plume_R,Fin_ind,S5YR_ind,ResMWells,Tonnes,I_Wells,PA_B,MW_depth,M_Wells,Pdia,DCM_Wells,Inj_depth,DCMW_AC,wellPa_ETUC,ResmWell_ETUC,PlumeR_ETUC,W_PlumeR_ETUC,StratT,PreopSite,PreopWell,PreopPA,DiscPISC,FiveETUC,ThreeTRC
1,10369.45275,General,OK_SAL_Arbuckle1,E_OK_OGSM_3,17,18,3,OK,36.399,-98.554,45.9,572,6562,65.51,1.36253781,0.4,76.05,10229,3660,1.36253781,1.10012525,718,0.08,0.1,139.1,10.43,18.38,16.3775,117653,100.4129,10958.9,1.3359,6.898,0.007184,6.612,121509.31,911319.82,25039477.96,18016848.67,3326321.8,3.2,68.0275,3.6875,0.0617,0.032608,17,3.2,4,110.01,6412,33,11.84,21,7184,596136,1524050,48170,31067,41381,11117101,19747766,8987304,1824004,174923220,2214862,4475739
2,7465.675333,General,CO_SAL_Arbuckle2,E_CO_OGSM_5,24,20,5,CO,38.649,-102.936,29.1,260,5890,103.26,1.96067706,0.4,76.05,11609,2676.39,1.96067706,1.73020886,715.77,0.08,0.14,185.12,16.43,27.82,25.815,160057.77,150.0539,10958.9,0.97688235,6.07,0.0062,5.94,165225.67,1239192.51,54537740.24,44666672.45,5243395.68,3.098881275,89.4609,5.8164,0.0973,0.032608,26,3.0989,5,145.55,5740,50,13.61,29,6200,801584,2337500,45120,38384,63909,15070542,25176003,14495954,2775974,235589385,2867670,8242275
3,1838.321451,General,KS_SAL_Arbuckle3,E_KS_OGSM_3,18,9,3,KS,39.276,-101.817,27.3,245,5870,109.78,1.01763153,0.4,76.05,3039,2520.29,1.01763153,0.851699,714.49,0.08,0.14,185.12,17.47,29.45,27.445,169200.52,159.6362,10958.9,0.91990585,6.0425,0.006165,5.92,174316.41,1307373.06,29964505.43,23375167.8,5574374.8,2.91488486,89.2075,6.1999,0.1037,0.032608,28,2.9149,5,145.27,5720,50,13.6,29,6165,801584,2337500,45012,38384,63909,9361026,25044468,9067129,2775974,235283999,1781921,5508831
4,43039.72647,General,KS_SAL_Arbuckle4,E_KS_OGSM_3,18,9,3,KS,37.695,-99.206,60,720,5365,50.08,1.00549293,0.4,76.05,32460,3660,1.00549293,0.69591893,746.09,0.08,0.1,115.57,7.97,14.52,12.52,76816.22,72.5131,10958.9,1.3359,5.775,0.006135,5.415,78631.11,589733.36,14600744.05,8713587.96,2543114.61,3.2,53.4731,2.8209,0.0472,0.032608,13,3.2,4,83.17,5215,26,10.29,17,6135,491728,1168750,44919,27164,36183,9275302,17108478,7193537,1398290,135744016,1766892,2933778
5,39228.976,General,TX_SAL_Atoka1,E_TX_OGSM_4,1,18,4,TX,31.793,-102.444,38.1,372,10000,78.65,3.60616183,0.4,76.05,51294,3660,3.60616183,3.24404162,695.53,0.07,0.14,154.48,12.52,21.66,19.6625,204919.03,143.1172,10958.9,1.3359,10.236,0.010422,10.05,217704.71,1632785.3,78117253.82,63784864.76,3993546.87,3.2,88.8196,4.4424,0.0743,0.032608,20,3.2,4,152.53,9850,40,13.94,24,10422,666864,1832600,58208,34040,45342,24931804,22897317,19775185,2186676,230969058,4910375,10691057
6,7147.697776,General,NM_SAL_Atoka2,E_NM_OGSM_4,20,21,4,NM,32.965,-103.619,38.1,372,10000,78.65,2.97594464,0.4,76.05,9346,3660,2.97594464,2.65042013,695.53,0.07,0.14,154.48,12.52,21.66,19.6625,204919.03,143.1172,10958.9,1.3359,10.236,0.010422,10.05,217704.71,1632785.3,64465388.36,52112984.08,3993546.87,3.2,88.8196,4.4424,0.0743,0.032608,20,3.2,4,152.53,9850,40,13.94,24,10422,666864,1832600,58208,34040,45342,21155727,22897317,16876186,2186676,230969058,4185626,9201037
7,3065.273394,General,MT_SAL_Basal Cambrian1,E_MT_OGSM_7,23,19,7,MT,48.435,-111.341,13.8,260,4980,219.27,1.94473961,0.4,76.05,8799,3660,1.94473961,1.76383088,658.45,0.06,0.09,185.12,34.9,56.82,54.8175,289979.04,300.5972,10958.9,1.3359,5.16,0.00529,5.03,285786.76,2143400.7,110493206.9,96686952.94,11133673.89,1.4594159,85.1469,12.265,0.2051,0.032608,55,1.4594,4,138.27,4830,50,13.27,29,5290,801584,2337500,42299,38384,51127,14520766,22410822,11392147,2775974,226543169,2816925,8251460
8,242.6151867,General,MT_SAL_Basal Cambrian2,E_MT_OGSM_7,23,19,7,MT,47.843,-104.317,4.8,260,12550,606.7,5.04573942,0.4,76.05,1927,3660,5.04573942,4.85228142,721.84,0.06,0.03,185.12,96.56,153.67,151.675,1950525.04,1278.1009,10958.9,1.3359,12.73,0.01286,12.6,1936289.86,14522173.92,775397940.4,735963952.7,18483719.83,0.527447749,110.9931,35.2618,0.5898,0.032608,152,0.5274,4,204.5,12400,50,16.14,29,12860,801584,2337500,65766,38384,51127,32545422,22219338,26749021,2775974,303550786,6652737,17930551
9,3902.508582,General,MT_SAL_Basal Cambrian3,E_MT_OGSM_7,23,19,7,MT,47.614,-105.134,9.6,260,10230,308.18,4.07559775,0.4,76.05,15745,3660,4.07559775,3.88499689,710.52,0.06,0.06,185.12,49.05,79.05,77.045,812056.48,571.3391,10958.9,1.3359,10.41,0.01054,10.28,812584.73,6094385.48,322156469.2,299320390.8,12518813.79,1.038351459,103.0576,17.6309,0.2949,0.032608,78,1.0384,4,182.83,10080,50,15.26,29,10540,801584,2337500,58574,38384,51127,26913235,23527908,21951617,2775974,279046938,5454430,14902408
10,4124.672826,General,MT_SAL_Basal Cambrian4,E_MT_OGSM_7,23,19,7,MT,47.39,-106.225,14.4,260,8470,208.8,3.34987923,0.4,76.05,11275,3660,3.34987923,3.16187613,699.13,0.06,0.09,185.12,33.23,54.2,52.2,458319.56,348.3337,10958.9,1.3359,8.65,0.00878,8.52,461787.45,3463405.9,181564812,165051215.7,10602332.97,1.532555216,97.6807,11.7539,0.1966,0.032608,53,1.5326,4,167.2,8320,50,14.59,29,8780,801584,2337500,53118,38384,51127,22697021,23939161,18359361,2775974,260990239,4557158,12637065
