Facility_Id,SITE_NAME,FuelRegion,Facility_Name,City,State,LAT,LON,Tot_CO2_Control
1001286,NGP_1001286,21,Milagro Gas Plant,BLOOMFIELD,NM,36.7367,-107.9417,0.438580303
1001589,NGP_1001589,18,Cana Gas Plant,Calumet,OK,35.5350,-98.0990,0.041554618
1001638,NGP_1001638,18,TARGA MIDKIFF GAS PROCESSING PLANT,MIDKIFF,TX,31.5026,-101.9120,0.054219821
1001760,NGP_1001760,20,Arkansas Loop & Simpson Treating Plants,DURANGO,CO,37.0532,-107.7855,0.398150301
1001866,NGP_1001866,19,Patrick Draw Gas Plant,Green River,WY,41.5786,-108.5201,0.036450593
1001894,NGP_1001894,7,TIOGA GAS PROCESSING PLANT,TIOGA,ND,48.4015,-102.9142,0.066271875
1002029,NGP_1002029,18,WILCOX GAS PLANT,Hallettsville,TX,29.3364,-96.6799,0.069877929
1002066,NGP_1002066,18,GIDDINGS GAS PLANT,LA GRANGE,TX,30.0383,-96.9872,0.056241397
1002150,NGP_1002150,19,Shute Creek Facility,KEMMERER,WY,41.8870,-110.0945,2.42688376
1002169,NGP_1002169,18,Brookeland Gas Plant,Brookeland,TX,31.0626,-93.9611,0.054886092
1002239,NGP_1002239,19,Echo Springs Gas Plant,Wamsutter,WY,41.6472,-107.8236,0.189865749
1002251,NGP_1002251,17,"Big Escambia Creek Gas Production, Treating and Processing Facility (BEC)",Atmore,AL,31.0717,-87.3629,0.239778339
1002265,NGP_1002265,19,BURLINGTON RESOURCES_LOST CABIN,Lysite,WY,43.2782,-107.6000,0.241191317
1002290,NGP_1002290,18,GULF PLAINS GAS PLANT,BISHOP,TX,27.6871,-97.9021,0.040396613
1002319,NGP_1002319,20,WILLOW CREEK GAS PLANT,Rifle,CO,39.9777,-107.7636,0.223655815
1002355,NGP_1002355,20,LUCERNE GAS PLANT,GREELEY,CO,40.4572,-104.6647,0.146265272
1002385,NGP_1002385,17,Yellowhammer Gas Plant,CODEN,AL,30.4025,-88.1306,0.038156488
1002532,NGP_1002532,20,Ignacio Gas Plant,Durango,CO,37.1453,-107.7844,0.210779651
1002623,NGP_1002623,18,"Copano Energy Houston Central Plant, TX",Sheridan,TX,29.6331,-96.7194,0.075551091
1002624,NGP_1002624,18,"Copano Field Services/North Texas, Saint Jo Processing Plant Montague, TX",MONTAGUE,TX,33.6300,-97.6282,0.180911321
1002778,NGP_1002778,18,"TALCO Midstream Assets, LTD. - Holly Common Point #3 Compressor Station",Grand Cane,LA,32.1615,-93.7131,0.103683172
1002943,NGP_1002943,20,"BARGATH, INC.- PARACHUTE","PARACHUTE, 3.4 MI NW OF",CO,39.4873,-108.1114,0.138738999
1003083,NGP_1003083,18,JACKALOPE TREATER,MIRANDO CITY,TX,27.2567,-98.9001,0.047925921
1003223,NGP_1003223,20,Florida River Gas Processing Facility,DURANGO,CO,37.1564,-107.7798,0.131595187
1003475,NGP_1003475,18,Clear Lake Amine Plant,Williams,LA,32.2392,-93.5206,0.2094805
1003483,NGP_1003483,18,Magnolia Amine Plant,Ringgold,LA,32.2678,-93.2986,0.306198948
1003764,NGP_1003764,18,Targa Midstream Services LLC - Chico Gas Plant,Chico,TX,33.3055,-97.8835,0.061075271
1003767,NGP_1003767,18,Targa Midstream Services LLC - Sandhills Gas Plant,Crane,TX,31.5017,-102.6403,0.060876452
1003848,NGP_1003848,19,Thunder Creek Gas Services Buckshot Gas Plant,Douglas,WY,42.7881,-105.6140,0.115768615
1004144,NGP_1004144,18,XTO - New Teague Plant,Teague,TX,31.5914,-96.2164,0.048783421
1004248,NGP_1004248,18,Gomez Gas Plant,Fort Stockton,TX,30.9731,-102.9714,0.044542968
1004400,NGP_1004400,18,Springridge South Compressor Station,Keatchie,LA,32.1950,-93.9010,0.056836336
1004502,NGP_1004502,21,VAL VERDE TREATER,BLOOMFIELD,NM,36.7314,-107.9553,0.590115029
1004534,NGP_1004534,18,North DeSoto Central Facility,Frierson,LA,32.2408,-93.6549,0.21668502
