ID,SITE_NAME,LON,LAT,DIST_RADIUS,COLL_RADIUS,SHIP_RADIUS
1,T_CLUSTER_1,-104.827489,40.01954517,250,250,400
2,T_CLUSTER_2,-95.95179004,40.98768048,250,250,400
3,T_CLUSTER_3,-74.15551379,40.70056897,250,250,400
4,T_CLUSTER_4,-78.99650923,40.46448308,250,250,400
5,T_CLUSTER_5,-81.07322904,39.97284673,250,250,400
6,T_CLUSTER_6,-70.63,43.51777778,250,250,400
7,T_CLUSTER_7,-86.70983768,40.42159995,250,250,400
8,T_CLUSTER_8,-107.470758,32.041906,250,250,400
9,T_CLUSTER_9,-90.86113494,30.06264556,250,250,400
10,T_CLUSTER_10,-89.31799458,44.03715858,250,250,400
11,T_CLUSTER_11,-85.07419355,38.48612903,250,250,400
12,T_CLUSTER_12,-89.97137971,35.60479312,250,250,400
13,T_CLUSTER_13,-75.42201579,39.79052632,250,250,400
14,T_CLUSTER_14,-93.20333333,35.22916667,250,250,400
15,T_CLUSTER_15,-87.97224667,41.52973,250,250,400
16,T_CLUSTER_16,-96.84119433,29.440744,250,250,400
17,T_CLUSTER_17,-89.86396756,41.85002556,250,250,400
18,T_CLUSTER_18,-91.69021031,40.81161681,250,250,400
19,T_CLUSTER_19,-101.5544596,36.10812536,250,250,400
20,T_CLUSTER_20,-93.51534693,45.27995028,250,250,400
21,T_CLUSTER_21,-74.98333333,44.40833333,250,250,400
22,T_CLUSTER_22,-121.2690878,37.96109774,250,250,400
23,T_CLUSTER_23,-82.21606067,38.4853544,250,250,400
24,T_CLUSTER_24,-77.011875,38.776875,250,250,400
25,T_CLUSTER_25,-118.4308476,34.2571578,250,250,400
26,T_CLUSTER_26,-102.462534,47.39394819,250,250,400
27,T_CLUSTER_27,-82.7041279,29.8094704,250,250,400
28,T_CLUSTER_28,-98.3337,29.66307692,250,250,400
29,T_CLUSTER_29,-84.23027778,34.38194444,250,250,400
30,T_CLUSTER_30,-96.82979392,35.95500743,250,250,400
31,T_CLUSTER_31,-73.69769231,42.64,250,250,400
32,T_CLUSTER_32,-97.56883271,33.10421314,250,250,400
33,T_CLUSTER_33,-109.9654863,40.3758612,250,250,400
34,T_CLUSTER_34,-94.83547795,38.8720827,250,250,400
35,T_CLUSTER_35,-78.02359203,37.16625433,250,250,400
36,T_CLUSTER_36,-114.0230432,34.55771676,250,250,400
37,T_CLUSTER_37,-87.3548759,37.90108082,250,250,400
38,T_CLUSTER_38,-96.595,31.37916667,250,250,400
39,T_CLUSTER_39,-94.76579616,43.0541406,250,250,400
40,T_CLUSTER_40,-92.96946189,30.48271011,250,250,400
41,T_CLUSTER_41,-92.7094171,42.98161515,250,250,400
42,T_CLUSTER_42,-121.5747854,46.82800505,250,250,400
43,T_CLUSTER_43,-76.222625,43.248625,250,250,400
44,T_CLUSTER_44,-95.23628891,29.69637809,250,250,400
45,T_CLUSTER_45,-81.44345455,27.66981818,250,250,400
46,T_CLUSTER_46,-71.31607143,42.08678571,250,250,400
47,T_CLUSTER_47,-94.24962486,32.782179,250,250,400
48,T_CLUSTER_48,-116.2931386,41.7842648,250,250,400
49,T_CLUSTER_49,-106.6575911,44.27460557,250,250,400
50,T_CLUSTER_50,-80.26165915,40.65336354,250,250,400
51,T_CLUSTER_51,-72.53923077,41.96307692,250,250,400
52,T_CLUSTER_52,-76.27529412,40.88294118,250,250,400
53,T_CLUSTER_53,-78.21983,42.684044,250,250,400
54,T_CLUSTER_54,-83.18872544,42.53002676,250,250,400
55,T_CLUSTER_55,-79.902,39.55,250,250,400
56,T_CLUSTER_56,-89.35428692,40.12766308,250,250,400
57,T_CLUSTER_57,-84.4418977,40.1383401,250,250,400
58,T_CLUSTER_58,-97.15444933,42.82085033,250,250,400
59,T_CLUSTER_59,-102.2361942,32.84324725,250,250,400
60,T_CLUSTER_60,-97.65289407,27.3920025,250,250,400
61,T_CLUSTER_61,-101.6448939,40.652792,250,250,400
62,T_CLUSTER_62,-88.30214811,42.81694694,250,250,400
63,T_CLUSTER_63,-98.3261401,39.93886595,250,250,400
64,T_CLUSTER_64,-89.54807342,37.82977147,250,250,400
65,T_CLUSTER_65,-81.42727273,41.34636364,250,250,400
66,T_CLUSTER_66,-80.44978261,34.34369565,250,250,400
67,T_CLUSTER_67,-108.9710599,35.50533443,250,250,400
68,T_CLUSTER_68,-86.80394118,33.22060588,250,250,400
69,T_CLUSTER_69,-96.94301589,45.49174867,250,250,400
70,T_CLUSTER_70,-85.45866821,42.96956242,250,250,400
71,T_CLUSTER_71,-87.81179241,30.92265024,250,250,400
72,T_CLUSTER_72,-90.28824746,32.92899631,250,250,400
