ID,SITE_NAME,LON,LAT,DIST_RADIUS,COLL_RADIUS,SHIP_RADIUS,optional,Type
1,T_EQAREA_1,-105.5769231,38.52051282,250,250,350,TRUE,Equal Area
2,T_EQAREA_2,-93.63888889,35.78333333,250,250,350,TRUE,Equal Area
3,T_EQAREA_3,-109.9189189,32.79459459,250,250,350,TRUE,Equal Area
4,T_EQAREA_4,-82.71621622,39.74054054,250,250,350,TRUE,Equal Area
5,T_EQAREA_5,-109.7,47.68333333,250,250,350,TRUE,Equal Area
6,T_EQAREA_6,-106.95,47.43333333,250,250,350,TRUE,Equal Area
7,T_EQAREA_7,-88.65277778,38.92222222,250,250,350,TRUE,Equal Area
8,T_EQAREA_8,-104.5,47.45,250,250,350,TRUE,Equal Area
9,T_EQAREA_9,-91.62857143,44.31428571,250,250,350,TRUE,Equal Area
10,T_EQAREA_10,-111.0862069,45.30344828,250,250,350,TRUE,Equal Area
11,T_EQAREA_11,-99.30882353,47.52352941,250,250,350,TRUE,Equal Area
12,T_EQAREA_12,-91.78571429,41.41428571,250,250,350,TRUE,Equal Area
13,T_EQAREA_13,-111.4305556,37.83888889,250,250,350,TRUE,Equal Area
14,T_EQAREA_14,-85.41891892,31.63243243,250,250,350,TRUE,Equal Area
15,T_EQAREA_15,-104.3717949,35.34102564,250,250,350,TRUE,Equal Area
16,T_EQAREA_16,-94.95,44.4625,250,250,350,TRUE,Equal Area
17,T_EQAREA_17,-112.8181818,47.53333333,250,250,350,TRUE,Equal Area
18,T_EQAREA_18,-120.6323529,44.06764706,250,250,350,TRUE,Equal Area
19,T_EQAREA_19,-86.95454545,34.09393939,250,250,350,TRUE,Equal Area
20,T_EQAREA_20,-97.64705882,38.87647059,250,250,350,TRUE,Equal Area
21,T_EQAREA_21,-117.8030303,37.15454545,250,250,350,TRUE,Equal Area
22,T_EQAREA_22,-79.640625,34.575,250,250,350,TRUE,Equal Area
23,T_EQAREA_23,-85.94285714,40.18571429,250,250,350,TRUE,Equal Area
24,T_EQAREA_24,-102,47.7,250,250,350,TRUE,Equal Area
25,T_EQAREA_25,-115.3709677,42.45806452,250,250,350,TRUE,Equal Area
26,T_EQAREA_26,-97.57142857,42,250,250,350,TRUE,Equal Area
27,T_EQAREA_27,-109.4677419,42.53870968,250,250,350,TRUE,Equal Area
28,T_EQAREA_28,-111.3125,35.215625,250,250,350,TRUE,Equal Area
29,T_EQAREA_29,-118.203125,42.496875,250,250,350,TRUE,Equal Area
30,T_EQAREA_30,-79.67045455,39.84772727,250,250,350,TRUE,Equal Area
31,T_EQAREA_31,-108.0609756,36.05365854,250,250,350,TRUE,Equal Area
32,T_EQAREA_32,-94.48684211,32.85789474,250,250,350,TRUE,Equal Area
33,T_EQAREA_33,-115.1515152,45.33636364,250,250,350,TRUE,Equal Area
34,T_EQAREA_34,-94.71428571,41.41428571,250,250,350,TRUE,Equal Area
35,T_EQAREA_35,-103.5869565,31.2,250,250,350,TRUE,Equal Area
36,T_EQAREA_36,-101.5,33.7625,250,250,350,TRUE,Equal Area
37,T_EQAREA_37,-82.625,30.36071429,250,250,350,TRUE,Equal Area
38,T_EQAREA_38,-99.78947368,36.25263158,250,250,350,TRUE,Equal Area
39,T_EQAREA_39,-113.890625,39.6375,250,250,350,TRUE,Equal Area
40,T_EQAREA_40,-98.38235294,44.93529412,250,250,350,TRUE,Equal Area
41,T_EQAREA_41,-111.5166667,40.93333333,250,250,350,TRUE,Equal Area
