ID,SITE_NAME,LON,LAT,DIST_RADIUS,COLL_RADIUS,SHIP_RADIUS
1,T_GRID_1,-99,26.5,250,250,300
2,T_GRID_2,-81,26.5,250,250,300
3,T_GRID_3,-99,29.5,250,250,300
4,T_GRID_4,-96,29.5,250,250,300
5,T_GRID_5,-90,29.5,250,250,300
6,T_GRID_6,-114,32.5,250,250,300
7,T_GRID_7,-111,32.5,250,250,300
8,T_GRID_8,-108,32.5,250,250,300
9,T_GRID_9,-105,32.5,250,250,300
10,T_GRID_10,-102,32.5,250,250,300
11,T_GRID_11,-99,32.5,250,250,300
12,T_GRID_12,-96,32.5,250,250,300
13,T_GRID_13,-93,32.5,250,250,300
14,T_GRID_14,-90,32.5,250,250,300
15,T_GRID_15,-87,32.5,250,250,300
16,T_GRID_16,-84,32.5,250,250,300
17,T_GRID_17,-81,32.5,250,250,300
18,T_GRID_18,-120,35.5,250,250,300
19,T_GRID_19,-117,35.5,250,250,300
20,T_GRID_20,-114,35.5,250,250,300
21,T_GRID_21,-111,35.5,250,250,300
22,T_GRID_22,-108,35.5,250,250,300
23,T_GRID_23,-105,35.5,250,250,300
24,T_GRID_24,-102,35.5,250,250,300
25,T_GRID_25,-99,35.5,250,250,300
26,T_GRID_26,-96,35.5,250,250,300
27,T_GRID_27,-93,35.5,250,250,300
28,T_GRID_28,-90,35.5,250,250,300
29,T_GRID_29,-87,35.5,250,250,300
30,T_GRID_30,-84,35.5,250,250,300
31,T_GRID_31,-81,35.5,250,250,300
32,T_GRID_32,-78,35.5,250,250,300
33,T_GRID_33,-123,38.5,250,250,300
34,T_GRID_34,-120,38.5,250,250,300
35,T_GRID_35,-117,38.5,250,250,300
36,T_GRID_36,-114,38.5,250,250,300
37,T_GRID_37,-111,38.5,250,250,300
38,T_GRID_38,-108,38.5,250,250,300
39,T_GRID_39,-105,38.5,250,250,300
40,T_GRID_40,-102,38.5,250,250,300
41,T_GRID_41,-99,38.5,250,250,300
42,T_GRID_42,-96,38.5,250,250,300
43,T_GRID_43,-93,38.5,250,250,300
44,T_GRID_44,-90,38.5,250,250,300
45,T_GRID_45,-87,38.5,250,250,300
46,T_GRID_46,-84,38.5,250,250,300
47,T_GRID_47,-81,38.5,250,250,300
48,T_GRID_48,-78,38.5,250,250,300
49,T_GRID_49,-123,41.5,250,250,300
50,T_GRID_50,-120,41.5,250,250,300
51,T_GRID_51,-117,41.5,250,250,300
52,T_GRID_52,-114,41.5,250,250,300
53,T_GRID_53,-111,41.5,250,250,300
54,T_GRID_54,-108,41.5,250,250,300
55,T_GRID_55,-105,41.5,250,250,300
56,T_GRID_56,-102,41.5,250,250,300
57,T_GRID_57,-99,41.5,250,250,300
58,T_GRID_58,-96,41.5,250,250,300
59,T_GRID_59,-93,41.5,250,250,300
60,T_GRID_60,-90,41.5,250,250,300
61,T_GRID_61,-87,41.5,250,250,300
62,T_GRID_62,-84,41.5,250,250,300
63,T_GRID_63,-81,41.5,250,250,300
64,T_GRID_64,-78,41.5,250,250,300
65,T_GRID_65,-75,41.5,250,250,300
66,T_GRID_66,-72,41.5,250,250,300
67,T_GRID_67,-123,44.5,250,250,300
68,T_GRID_68,-120,44.5,250,250,300
69,T_GRID_69,-117,44.5,250,250,300
70,T_GRID_70,-114,44.5,250,250,300
71,T_GRID_71,-111,44.5,250,250,300
72,T_GRID_72,-108,44.5,250,250,300
73,T_GRID_73,-105,44.5,250,250,300
74,T_GRID_74,-102,44.5,250,250,300
75,T_GRID_75,-99,44.5,250,250,300
76,T_GRID_76,-96,44.5,250,250,300
77,T_GRID_77,-93,44.5,250,250,300
78,T_GRID_78,-90,44.5,250,250,300
79,T_GRID_79,-84,44.5,250,250,300
80,T_GRID_80,-75,44.5,250,250,300
81,T_GRID_81,-72,44.5,250,250,300
82,T_GRID_82,-69,44.5,250,250,300
83,T_GRID_83,-123,47.5,250,250,300
84,T_GRID_84,-120,47.5,250,250,300
85,T_GRID_85,-117,47.5,250,250,300
86,T_GRID_86,-114,47.5,250,250,300
87,T_GRID_87,-111,47.5,250,250,300
88,T_GRID_88,-108,47.5,250,250,300
89,T_GRID_89,-105,47.5,250,250,300
90,T_GRID_90,-102,47.5,250,250,300
91,T_GRID_91,-99,47.5,250,250,300
92,T_GRID_92,-96,47.5,250,250,300
93,T_GRID_93,-93,47.5,250,250,300
