PLANT_NAME,EMM_REGION,PLANT_CODE,STATE,LAT,LON,UID,IGRP,SUM_CAP,HEATRATE,CF,FuelRegion,GROUP,CCSROV,CCSF,CCSV,CCSHR,old22emm
Barry,15,3,AL,88.01,-31.007,A1CT,8,154,7056,0.856,99,Gas,662.9,0,2.7,8248.9,14
Barry,15,3,AL,88.01,-31.007,A1CT2,8,154,7056,0.856,99,Gas,662.9,0,2.7,8248.9,14
Barry,15,3,AL,88.01,-31.007,A1ST,8,173,7056,0.856,99,Gas,662.9,0,2.7,8248.9,14
Barry,15,3,AL,88.01,-31.007,A2C1,8,154,7056,0.856,99,Gas,664.7,0,2.7,8248.9,14
Barry,15,3,AL,88.01,-31.007,A2C2,8,154,7056,0.856,99,Gas,664.7,0,2.7,8248.9,14
Barry,15,3,AL,88.01,-31.007,A2ST,8,173,7056,0.856,99,Gas,664.7,0,2.7,8248.9,14
West Phoenix,20,117,AZ,112.158,-33.442,1B,111,85,11404,0.105,99,Gas,1692.8,0,6.69,14882.5,19
West Phoenix,20,117,AZ,112.158,-33.442,2B,111,85,11392,0.105,99,Gas,1711.2,0,6.64,14862.1,19
West Phoenix,20,117,AZ,112.158,-33.442,3B,111,85,11363,0.112,99,Gas,1689.4,0,6.68,14812.8,19
West Phoenix,20,117,AZ,112.158,-33.442,C4-1,111,68,8062,0.299,99,Gas,676.5,0,3.04,9657.8,19
West Phoenix,20,117,AZ,112.158,-33.442,C5-1,111,160,8062,0.299,99,Gas,676.5,0,3.04,9657.8,19
West Phoenix,20,117,AZ,112.158,-33.442,C5-2,111,160,8062,0.299,99,Gas,676.5,0,3.04,9657.8,19
West Phoenix,20,117,AZ,112.158,-33.442,C5-3,111,150,8062,0.299,99,Gas,676.5,0,3.04,9657.8,19
Kyrene,20,147,AZ,111.935,-33.356,KY7,146,148,7510,0.325,99,Gas,853.9,0,3.41,8876.3,19
Kyrene,20,147,AZ,111.935,-33.356,KY7A,146,106,7510,0.325,99,Gas,853.9,0,3.41,8876.3,19
Thomas Fitzhugh,6,201,AR,93.805,-35.462,1,193,61,8749,0.046,99,Gas,1233.5,0,4.34,10660.6,12
Thomas Fitzhugh,6,201,AR,93.805,-35.462,2,193,101,8749,0.046,99,Gas,1233.5,0,4.34,10660.6,12
Dynegy Moss Landing,21,260,CA,121.782,-36.805,CT1A,243,165,7175,0.41,99,Gas,653.1,0,2.7,8412,20
Dynegy Moss Landing,21,260,CA,121.782,-36.805,CT1B,243,165,7175,0.41,99,Gas,653.1,0,2.7,8412,20
Dynegy Moss Landing,21,260,CA,121.782,-36.805,CT2A,243,165,7175,0.41,99,Gas,652,0,2.7,8412,20
Dynegy Moss Landing,21,260,CA,121.782,-36.805,CT2B,243,165,7175,0.41,99,Gas,652,0,2.7,8412,20
Dynegy Moss Landing,21,260,CA,121.782,-36.805,ST1,243,180,7175,0.41,99,Gas,653.1,0,2.7,8412,20
Dynegy Moss Landing,21,260,CA,121.782,-36.805,ST2,243,180,7175,0.41,99,Gas,652,0,2.7,8412,20
Mountainview Generat,22,358,CA,117.242,-34.082,MV3A,327,149,7484,0.651,99,Gas,641,0,2.81,8840,20
Mountainview Generat,22,358,CA,117.242,-34.082,MV3B,327,149,7484,0.651,99,Gas,641,0,2.81,8840,20
Mountainview Generat,22,358,CA,117.242,-34.082,MV3C,327,188,7484,0.651,99,Gas,641,0,2.81,8840,20
Mountainview Generat,22,358,CA,117.242,-34.082,MV4A,327,149,7484,0.651,99,Gas,641,0,2.81,8840,20
Mountainview Generat,22,358,CA,117.242,-34.082,MV4B,327,149,7484,0.651,99,Gas,641,0,2.81,8840,20
Mountainview Generat,22,358,CA,117.242,-34.082,MV4C,327,188,7484,0.651,99,Gas,641,0,2.81,8840,20
Grayson,22,377,CA,118.278,-34.156,1,340,19,9198,0.024,99,Gas,9999,0,0,11334.8,20
Grayson,22,377,CA,118.278,-34.156,2,340,19,9198,0.024,99,Gas,9999,0,0,11334.8,20
El Centro,20,389,CA,115.54,-32.802,2A,357,71,8523,0.457,99,Gas,1033.5,0,4.64,10327,19
El Centro,20,389,CA,115.54,-32.802,30,359,52,8523,0.457,99,Gas,1779.5,0,5.97,10327,19
El Centro,20,389,CA,115.54,-32.802,31,359,45,8523,0.457,99,Gas,1886.9,0,6.26,10327,19
El Centro,20,389,CA,115.54,-32.802,32,359,45,8523,0.457,99,Gas,1886.9,0,6.26,10327,19
Harbor,22,399,CA,118.264,-33.786,10A,375,79.5,11115,0.039,99,Gas,1008.4,0,4.96,14394.1,20
Harbor,22,399,CA,118.264,-33.786,10B,375,79.5,11115,0.039,99,Gas,1008.4,0,4.96,14394.1,20
Harbor,22,399,CA,118.264,-33.786,5,376,65,11115,0.039,99,Gas,1008.4,0,4.96,14394.1,20
Haynes,22,400,CA,118.099,-33.765,10,379,157.5,7243,0.448,99,Gas,628.2,0,2.69,8505.7,20
Haynes,22,400,CA,118.099,-33.765,8,382,235,7243,0.448,99,Gas,628.2,0,2.69,8505.7,20
Haynes,22,400,CA,118.099,-33.765,9,383,157.5,7243,0.448,99,Gas,628.2,0,2.69,8505.7,20
Valley (CA),22,408,CA,118.391,-34.245,6,392,156,7392,0.349,99,Gas,648.1,0,2.78,8711.9,20
Valley (CA),22,408,CA,118.391,-34.245,7,392,156,7392,0.349,99,Gas,648.1,0,2.78,8711.9,20
Valley (CA),22,408,CA,118.391,-34.245,8,393,201,7392,0.349,99,Gas,648.1,0,2.78,8711.9,20
Cherokee,24,469,CO,104.965,-39.807,5,479,168,7050,0.87,99,Gas,993.7,0,3.63,8240.7,22
