KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
1,1002431,37.3181,-122.091,CA,West,"""Pacific""",9,6,23,Dry,1,0.846972535,1510.715997,767374,1,1,1,1,1,0,0.95,0,0.05,0,0,0,0,0,266.4397822,113.9359126,119.4376411,597212.6591,15735.39376,8031.569392,111.419681,2.812404629,0,1002431_1
2,1001701,37.797162,-95.431386,KS,Midwest,"""West North Central""",4,3,7,0,0,0.779895648,2344.078215,694450,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1182.644863,67.1320543,66.26581078,342231.4966,9017.135304,4602.474463,111.4196811,2.812404631,0,1001701_1
3,1002421,32.51993,-97.0068,TX,South,"""West South Central""",7,2,18,Wet,4,0.873618011,2595.095735,689627.5,1,1,1,1,1,0,0.5,0.5,0,0,0,0,0,0,960.6041753,66.26380711,65.27943286,369786.3881,9743.153187,4973.044343,111.4196811,2.812404632,0,1002421_1
4,1004810,30.5349,-88.1121,AL,South,"""East South Central""",6,2,17,Dry,1,0.721666667,1471.191981,560273,1,1,1,1,1,0.03,0.92,0.03,0,0.03,0,0,0,0,565.503562,77.33588628,77.85794106,436603.2487,11503.6477,5871.625852,102.498558,2.812404631,0,1004810_1
5,1009018,35.071319,-106.392283,NM,West,"""Mountain""",8,5,21,Dry,1,0.68458418,1783.273589,293034.1,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,456.1632466,84.61238929,86.12446004,488295.1001,12865.6276,6566.799816,111.4196811,2.812404631,0,1009018_1
6,1001835,40.72966,-75.30078,PA,Northeast,"""Middle Atlantic""",2,1,3,0,0,0.871798244,99999,753896,1,0,0,1,1,0,0,0,0,0,0,0,0,0,914.0760777,0,0,333237.6655,8780.165326,4481.521605,10.69537441,278.2046462,0,1001835_1
7,1005639,40.687646,-75.506305,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,2,0.721666667,1726.135817,261087,1,1,1,1,1,0.02,0,0.02,0,0.02,0.5,0,0,0.44,204.850426,54.39292086,55.96010132,460200.5018,12125.38949,6188.97173,102.4985579,2.812404632,0,1005639_1
8,1005639,40.687646,-75.506305,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,2,0.721666667,1814.894393,112729,1,1,1,1,1,0.02,0,0.02,0,0.02,0.5,0,0,0.44,286.7905965,38.85208633,39.97150094,460200.5018,12125.3895,6188.97173,102.4985579,2.812404632,0,1005639_2
9,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1204.802984,275319,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,416.8797036,10.61139025,10.38847285,250138.4506,6590.662394,3363.968081,102.4985579,2.812404632,0,1005874_1
10,1005874,45.0722,-83.4048,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.775765391,1194.944349,416640,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,416.8797036,15.91708537,15.58270928,250138.4507,6590.662398,3363.968083,102.498558,2.812404633,0,1005874_2
