COMPOSITE TABLE: 
      M10          MNUMCR  MNUMYR       HMMBLK_QHMM
      QHTDM_LOC      1      1             3.70000
      QHTDM_LOC      1      2             7.03333
      QHTDM_LOC      1      3            10.36667
      QHTDM_LOC      1      4            13.70000
      QHTDM_LOC      1      5            17.03333
      QHTDM_LOC      1      6            20.36667
      QHTDM_LOC      1      7            23.70000
      QHTDM_LOC      1      8            27.03333
      QHTDM_LOC      1      9            30.36667
      QHTDM_LOC      1     10            33.70000
      QHTDM_LOC      1     11            37.03333
      QHTDM_LOC      1     12            40.36667
      QHTDM_LOC      1     13            43.70000
      QHTDM_LOC      1     14            47.03333
      QHTDM_LOC      1     15            50.36667
      QHTDM_LOC      1     16            53.70000
      QHTDM_LOC      1     17            57.03333
      QHTDM_LOC      1     18            60.36667
      QHTDM_LOC      1     19            63.70000
      QHTDM_LOC      1     20            67.03333
      QHTDM_LOC      1     21            70.36667
      QHTDM_LOC      1     22            73.70000
      QHTDM_LOC      1     23            77.03333
      QHTDM_LOC      1     24            80.36667
      QHTDM_LOC      1     25            83.70000
      QHTDM_LOC      1     26            87.03333
      QHTDM_LOC      1     27            90.36667
      QHTDM_LOC      1     28            93.70000
      QHTDM_LOC      1     29            97.03333
      QHTDM_LOC      1     30           100.36667
      QHTDM_LOC      1     31           103.70000
      QHTDM_LOC      1     32           107.03333
      QHTDM_LOC      1     33           110.36667
      QHTDM_LOC      1     34           113.70000
      QHTDM_LOC      1     35           117.03333
      QHTDM_LOC      1     36           120.36667
      QHTDM_LOC      1     37           123.70000
      QHTDM_LOC      1     38           127.03333
      QHTDM_LOC      1     39           130.36667
      QHTDM_LOC      1     40           133.70000
      QHTDM_LOC      1     41           137.03333
      QHTDM_LOC      1     42           140.36667
      QHTDM_LOC      1     43           143.70000
      QHTDM_LOC      1     44           147.03333
      QHTDM_LOC      1     45           150.36667
      QHTDM_LOC      1     46           153.70000
      QHTDM_LOC      1     47           157.03333
      QHTDM_LOC      1     48           160.36667
      QHTDM_LOC      1     49           163.70000
      QHTDM_LOC      1     50           167.03333
      QHTDM_LOC      1     51           170.36667
      QHTDM_LOC      1     52           173.70000
      QHTDM_LOC      1     53           177.03333
      QHTDM_LOC      1     54           180.36667
      QHTDM_LOC      1     55           183.70000
      QHTDM_LOC      1     56           187.03333
      QHTDM_LOC      1     57           190.36667
      QHTDM_LOC      1     58           193.70000
      QHTDM_LOC      1     59           197.03333
      QHTDM_LOC      1     60           200.36667
      QHTDM_LOC      1     61           203.70000
      QHTDM_LOC      2      1             4.06667
      QHTDM_LOC      2      2             7.40000
      QHTDM_LOC      2      3            10.73333
      QHTDM_LOC      2      4            14.06667
      QHTDM_LOC      2      5            17.40000
      QHTDM_LOC      2      6            20.73333
      QHTDM_LOC      2      7            24.06667
      QHTDM_LOC      2      8            27.40000
      QHTDM_LOC      2      9            30.73333
      QHTDM_LOC      2     10            34.06667
      QHTDM_LOC      2     11            37.40000
      QHTDM_LOC      2     12            40.73333
      QHTDM_LOC      2     13            44.06667
      QHTDM_LOC      2     14            47.40000
      QHTDM_LOC      2     15            50.73333
      QHTDM_LOC      2     16            54.06667
      QHTDM_LOC      2     17            57.40000
      QHTDM_LOC      2     18            60.73333
      QHTDM_LOC      2     19            64.06667
      QHTDM_LOC      2     20            67.40000
      QHTDM_LOC      2     21            70.73333
      QHTDM_LOC      2     22            74.06667
      QHTDM_LOC      2     23            77.40000
      QHTDM_LOC      2     24            80.73333
      QHTDM_LOC      2     25            84.06667
      QHTDM_LOC      2     26            87.40000
      QHTDM_LOC      2     27            90.73333
      QHTDM_LOC      2     28            94.06667
      QHTDM_LOC      2     29            97.40000
      QHTDM_LOC      2     30           100.73333
      QHTDM_LOC      2     31           104.06667
      QHTDM_LOC      2     32           107.40000
      QHTDM_LOC      2     33           110.73333
      QHTDM_LOC      2     34           114.06667
      QHTDM_LOC      2     35           117.40000
      QHTDM_LOC      2     36           120.73333
      QHTDM_LOC      2     37           124.06667
      QHTDM_LOC      2     38           127.40000
      QHTDM_LOC      2     39           130.73333
      QHTDM_LOC      2     40           134.06667
      QHTDM_LOC      2     41           137.40000
      QHTDM_LOC      2     42           140.73333
      QHTDM_LOC      2     43           144.06667
      QHTDM_LOC      2     44           147.40000
      QHTDM_LOC      2     45           150.73333
      QHTDM_LOC      2     46           154.06667
      QHTDM_LOC      2     47           157.40000
      QHTDM_LOC      2     48           160.73333
      QHTDM_LOC      2     49           164.06667
      QHTDM_LOC      2     50           167.40000
      QHTDM_LOC      2     51           170.73333
      QHTDM_LOC      2     52           174.06667
      QHTDM_LOC      2     53           177.40000
      QHTDM_LOC      2     54           180.73333
      QHTDM_LOC      2     55           184.06667
      QHTDM_LOC      2     56           187.40000
      QHTDM_LOC      2     57           190.73333
      QHTDM_LOC      2     58           194.06667
      QHTDM_LOC      2     59           197.40000
      QHTDM_LOC      2     60           200.73333
      QHTDM_LOC      2     61           204.06667
      QHTDM_LOC      3      1             4.43333
      QHTDM_LOC      3      2             7.76667
      QHTDM_LOC      3      3            11.10000
      QHTDM_LOC      3      4            14.43333
      QHTDM_LOC      3      5            17.76667
      QHTDM_LOC      3      6            21.10000
      QHTDM_LOC      3      7            24.43333
      QHTDM_LOC      3      8            27.76667
      QHTDM_LOC      3      9            31.10000
      QHTDM_LOC      3     10            34.43333
      QHTDM_LOC      3     11            37.76667
      QHTDM_LOC      3     12            41.10000
