Composite table:
    i_CensusDivision  i_NumYear    HMMBLK_PHMM
!   ----------------  ---------    -----------
                   1  34           8000000.000
                   2  34               344.282
                   3  34               344.282
                   4  34               344.282
                   5  34           8000000.000
                   6  34               344.282
                   7  34               344.282
                   8  34               344.282
                   9  34           8000000.000
                  10  34               128.935
    ;
 
