Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
!   -----------------  ----------------  ----------    ----------------------------------------------------------
    1                                 1  34                                                                 81.90
    1                                 1  35                                                                 81.90
    1                                 1  36                                                                 81.90
    1                                 1  37                                                                  7.68
    1                                 1  38                                                                  7.68
    1                                 1  39                                                                  7.69
    1                                 1  40                                                                  8.09
    1                                 1  41                                                                  7.70
    1                                 1  42                                                                 15.50
    1                                 2  34                                                                 81.90
    1                                 2  35                                                                  7.66
    1                                 2  36                                                                  7.67
    1                                 2  37                                                                  7.68
    1                                 2  38                                                                  7.68
    1                                 2  39                                                                  7.69
    1                                 2  40                                                                  7.69
    1                                 2  41                                                                  7.70
    1                                 2  42                                                                 15.09
    1                                 3  34                                                                 81.90
    1                                 3  35                                                                 81.90
    1                                 3  36                                                                  7.67
    1                                 3  37                                                                  7.68
    1                                 3  38                                                                  7.68
    1                                 3  39                                                                  7.69
    1                                 3  40                                                                  7.69
    1                                 3  41                                                                  7.70
    1                                 3  42                                                                 15.26
    1                                 4  34                                                                 81.90
    1                                 4  35                                                                 81.90
    1                                 4  36                                                                  7.67
    1                                 4  37                                                                  7.68
    1                                 4  38                                                                  7.68
    1                                 4  39                                                                  7.69
    1                                 4  40                                                                  7.69
    1                                 4  41                                                                  7.70
    1                                 4  42                                                                 15.26
    1                                 5  34                                                                 81.90
    1                                 5  35                                                                  7.66
    1                                 5  36                                                                  7.67
    1                                 5  37                                                                  7.68
    1                                 5  38                                                                  7.68
    1                                 5  39                                                                  7.69
    1                                 5  40                                                                  7.69
    1                                 5  41                                                                  7.70
    1                                 5  42                                                                 15.09
    1                                 6  34                                                                 81.90
    1                                 6  35                                                                  7.66
    1                                 6  36                                                                  7.67
    1                                 6  37                                                                  7.68
    1                                 6  38                                                                  7.68
    1                                 6  39                                                                  7.69
    1                                 6  40                                                                  7.69
    1                                 6  41                                                                  7.70
    1                                 6  42                                                                 15.09
    1                                 7  34                                                                 81.90
    1                                 7  35                                                                 81.90
    1                                 7  36                                                                  7.69
    1                                 7  37                                                                  7.68
    1                                 7  38                                                                  7.68
    1                                 7  39                                                                  7.69
    1                                 7  40                                                                  7.69
    1                                 7  41                                                                  7.70
    1                                 7  42                                                                 15.26
    1                                 8  34                                                                 81.90
    1                                 8  35                                                                  7.66
    1                                 8  36                                                                  7.67
    1                                 8  37                                                                  7.68
    1                                 8  38                                                                  7.68
    1                                 8  39                                                                  7.69
    1                                 8  40                                                                  7.69
    1                                 8  41                                                                  7.70
    1                                 8  42                                                                 15.26
    1                                 9  34                                                                 81.90
    1                                 9  35                                                                  7.66
    1                                 9  36                                                                  7.67
    1                                 9  37                                                                  7.68
    1                                 9  38                                                                  7.68
    1                                 9  39                                                                  7.69
    1                                 9  40                                                                  7.69
    1                                 9  41                                                                  7.70
    1                                 9  42                                                                 17.10
    1                                10  34                                                                 81.90
    1                                10  35                                                                 10.44
    1                                10  36                                                                 10.51
    1                                10  37                                                                 10.59
    1                                10  38                                                                 10.67
    1                                10  39                                                                 10.75
    1                                10  40                                                                 10.83
    1                                10  41                                                                 10.91
    1                                10  42                                                                 11.00
    1                                11  34                                                                 81.90
    1                                11  35                                                                 21.07
    1                                11  36                                                                  9.70
    1                                11  37                                                                  7.68
    1                                11  38                                                                  7.68
    1                                11  39                                                                  7.69
    1                                11  40                                                                  7.71
    1                                11  41                                                                  7.70
    1                                11  42                                                                 15.70
    2                                 1  34                                                                 81.90
    2                                 1  35                                                                 81.90
    2                                 1  36                                                                 81.90
    2                                 1  37                                                                  7.68
    2                                 1  38                                                                  7.68
