Component,L1,L2,Units,H-B Process
Active,Active,Active,,1
Technical Operating Parameters,,Operating Capacity Factor,%,90
Technical Operating Parameters,,Plant Design Capacity,kg of NH3/day,483024
Financial Input Values,,Reference year,,2016
Financial Input Values,,Assumed start-up year,,2023
Financial Input Values,,Basis year,,2018
Financial Input Values,,Length of Construction Period,Years,3
Financial Input Values,,Capital Spent in 1st Year of Construction,%,100
Financial Input Values,,Capital Spent in 2nd Year of Construction,%,0
Financial Input Values,,Capital Spent in 3rd Year of Construction,%,0
Financial Input Values,,Capital Spent in 4th Year of Construction,%,0
Financial Input Values,,Capital Spent in 5th Year of Construction,%,0
Financial Input Values,,Start-up Time,Years,1
Financial Input Values,,Plant life,Years,40
Financial Input Values,,Analysis period,Years,40
Financial Input Values,,Depreciation Schedule Length,Years,20
Financial Input Values,,Depreciation Type,,0
Financial Input Values,,Equity Financing,%,40
Financial Input Values,,Interest rate on debt,% (real),3.7
Financial Input Values,,Debt period,Years,30
Financial Input Values,,Fixed Operating Costs During Start-up,%,100
Financial Input Values,,Revenues During Start-up,%,100
Financial Input Values,,Variable Operating Costs During Start-up,%,100
Financial Input Values,,Decommissioning costs ,% of depreciable capital,10
Financial Input Values,,Salvage value,% of total capital,10
Financial Input Values,,Inflation rate,%,1.9
Financial Input Values,,After-tax Real IRR,%,8
Financial Input Values,,State Taxes,%,6
Financial Input Values,,Federal Taxes,%,21
Financial Input Values,,Total Tax Rate,%,25.74
Financial Input Values,,WORKING CAPITAL,% of operating costs,0
Variable Operating Costs,Feedstock Costs,Natural Gas,MMBtu/kg H2,0
Variable Operating Costs,Feedstock Costs,Biomass,MMBTU/kg NH3,0
Variable Operating Costs,Feedstock Costs,Coal,MMBTU/kg NH3,0
Variable Operating Costs,Feedstock Costs,Electricity,kwhr/kg NH3,0
Variable Operating Costs,Feedstock Costs,Ethanol,gal/kg NH3,
Variable Operating Costs,Feedstock Costs,Hydrogen,kg H2/Kg NH3,0.177
Variable Operating Costs,Feedstock Costs,Total Energy Costs (less product credits),millions of 2018$/year,93.65
Capital Costs,Depreciable Capital Costs,Capital Costs,,
Capital Costs,Depreciable Capital Costs,Total Direct Capital Cost,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Carbon Sequestration Total Direct Capital Cost,2018$,
Capital Costs,Depreciable Capital Costs,Indirect Depreciable Capital Costs,,
Capital Costs,Depreciable Capital Costs,Site Preparation,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Engineering & design,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Process contingency,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Project contingency,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Other Depreciable capital,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,One-time Licensing Fees,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Up-Front Permitting Costs,millions of 2018$/year,
Capital Costs,Depreciable Capital Costs,Total Depreciable Capital Costs,millions of 2018$/year,
Capital Costs,Non-Depreciable Capital Costs,Non-Depreciable Capital Costs,,
Capital Costs,Non-Depreciable Capital Costs,Cost of land,BasisYear_$/acre,
Capital Costs,Non-Depreciable Capital Costs,Land required,Acres,
Capital Costs,Non-Depreciable Capital Costs,Land Cost,Million BasisYear_$,
Capital Costs,Non-Depreciable Capital Costs,Other non depreciable capital costs,BasisYear_$,
Capital Costs,Non-Depreciable Capital Costs,Total Non-Depreciable Capital Costs,Million BasisYear_$,
