Policy,Tech,MNUMYR,Value
PTC,SMR_CCS,1,0
PTC,SMR_CCS,2,0
PTC,SMR_CCS,3,0
PTC,SMR_CCS,4,0
PTC,SMR_CCS,5,0
PTC,SMR_CCS,6,0
PTC,SMR_CCS,7,0
PTC,SMR_CCS,8,0
PTC,SMR_CCS,9,0
PTC,SMR_CCS,10,0
PTC,SMR_CCS,11,0
PTC,SMR_CCS,12,0
PTC,SMR_CCS,13,0
PTC,SMR_CCS,14,0
PTC,SMR_CCS,15,0
PTC,SMR_CCS,16,0
PTC,SMR_CCS,17,0
PTC,SMR_CCS,18,0
PTC,SMR_CCS,19,0
PTC,SMR_CCS,20,0
PTC,SMR_CCS,21,0
PTC,SMR_CCS,22,0
PTC,SMR_CCS,23,0
PTC,SMR_CCS,24,0.483091787
PTC,SMR_CCS,25,0.483091787
PTC,SMR_CCS,26,0.483091787
PTC,SMR_CCS,27,0.483091787
PTC,SMR_CCS,28,0.483091787
PTC,SMR_CCS,29,0.483091787
PTC,SMR_CCS,30,0.483091787
PTC,SMR_CCS,31,0.483091787
PTC,SMR_CCS,32,0.483091787
PTC,SMR_CCS,33,0.483091787
PTC,SMR_CCS,34,0.483091787
PTC,SMR_CCS,35,0.483091787
PTC,SMR_CCS,36,0.483091787
PTC,SMR_CCS,37,0.483091787
PTC,SMR_CCS,38,0.483091787
PTC,SMR_CCS,39,0.483091787
PTC,SMR_CCS,40,0.483091787
PTC,SMR_CCS,41,0.483091787
PTC,SMR_CCS,42,0.483091787
PTC,SMR_CCS,43,0.483091787
PTC,SMR_CCS,44,0.483091787
PTC,SMR_CCS,45,0.483091787
PTC,SMR_CCS,46,0.483091787
PTC,SMR_CCS,47,0.483091787
PTC,SMR_CCS,48,0.483091787
PTC,SMR_CCS,49,0.483091787
PTC,SMR_CCS,50,0.483091787
PTC,SMR_CCS,51,0.483091787
PTC,SMR_CCS,52,0.483091787
PTC,SMR_CCS,53,0.483091787
PTC,SMR_CCS,54,0.483091787
PTC,SMR_CCS,55,0.483091787
PTC,SMR_CCS,56,0.483091787
PTC,SMR_CCS,57,0.483091787
PTC,SMR_CCS,58,0.483091787
PTC,SMR_CCS,59,0.483091787
PTC,SMR_CCS,60,0.483091787
ITC,SMR_CCS,1,0
ITC,SMR_CCS,2,0
ITC,SMR_CCS,3,0
ITC,SMR_CCS,4,0
ITC,SMR_CCS,5,0
ITC,SMR_CCS,6,0
ITC,SMR_CCS,7,0
ITC,SMR_CCS,8,0
ITC,SMR_CCS,9,0
ITC,SMR_CCS,10,0
ITC,SMR_CCS,11,0
ITC,SMR_CCS,12,0
ITC,SMR_CCS,13,0
ITC,SMR_CCS,14,0
ITC,SMR_CCS,15,0
ITC,SMR_CCS,16,0
ITC,SMR_CCS,17,0
ITC,SMR_CCS,18,0
ITC,SMR_CCS,19,0
ITC,SMR_CCS,20,0
ITC,SMR_CCS,21,0
ITC,SMR_CCS,22,0
ITC,SMR_CCS,23,0
ITC,SMR_CCS,24,0.966183575
ITC,SMR_CCS,25,0.966183575
ITC,SMR_CCS,26,0.966183575
ITC,SMR_CCS,27,0.966183575
ITC,SMR_CCS,28,0.966183575
ITC,SMR_CCS,29,0.966183575
ITC,SMR_CCS,30,0.966183575
ITC,SMR_CCS,31,0.966183575
ITC,SMR_CCS,32,0.966183575
ITC,SMR_CCS,33,0.966183575
ITC,SMR_CCS,34,0.966183575
ITC,SMR_CCS,35,0.966183575
ITC,SMR_CCS,36,0.966183575
ITC,SMR_CCS,37,0.966183575
ITC,SMR_CCS,38,0.966183575
ITC,SMR_CCS,39,0.966183575
ITC,SMR_CCS,40,0.966183575
