Index_Name,HMM_Index,Description
Fuel Code,NG,Natural Gas
Fuel Code,BM,Biomass
Fuel Code,CL,Coal
Fuel Code,EL,Electricity
Production Code,SMR,NG Steam methane reforming  
Production Code,SMR_ADV,NG Steam methane reforming  adv
Production Code,ATR,Autothermal reforming
Production Code,SMR_CCS_ADV,NG Steam methane reforming with CCUS adv
Production Code,SMR_CCS,NG Steam methane reforming with CCUS 
Production Code,ATR_CCS,Autothermal reforming  with CCUS
Production Code,PYR_NG,NG Pyrolysis  
Production Code,SC,Steam Cracking  
Production Code,GAS_CL_CCS,CL Gasification with CCUS 
Production Code,GAS_CL,CL Gasification  
Production Code,GAS_BM,BM Gasification   
Production Code,GAS_BM_CL_CCS,CL BM Gasification with CCUS   
Production Code,GAS_BM_CCS,BM Gasification with CCUS   
Production Code,BIO_ADV,Bio-oil Reforming  adv
Production Code,BIO,Bio-oil Reforming  
Production Code,ST,Solar Thermochemical  adv
Production Code,ST_PEM,Solar Thermal PEM electrolysis  
Production Code,DS,Direct Solar Water Splitting  
Production Code,PEM_ADV,PEM electrolysis  adv
Production Code,PEM,PEM electrolysis  
Production Code,AE_LC,Alkaline Electrolysis
Production Code,AE_GRID,Alkaline Electrolysis Grid
Production Code,PEM_RENEW,PEM electrolysis  Renewables
Production Code,SOE_NUC,Solid Oxide electrolysis  Nuc
Production Code,SOE_ADV,Solid Oxide electrolysis  adv
Production Code,SOE,Solid Oxide electrolysis  
Transportation Code,PIPE,Transmission Pipeline
Transportation Code,LOC,Local production 
Storage Code,SALINE,Saline Cavern
Storage Code,ROCK,Rock Cavern
Market Price Code,PHTDM_LOC,TDM Local Production
Market Price Code,PHTDM_CEN,TDM Centralized Production
Market Price Code,PHCDM,CDM Hydrogen Price
Market Price Code,PHEMM1,EMM Hydrogen Price Season 1
Market Price Code,PHEMM2,EMM Hydrogen Price Season 2
Market Price Code,PHEMM3,EMM Hydrogen Price Season 3
Market Price Code,PHNGMM,NGMM Hydrogen Price
Market Price Code,PHIDM_LOC,IDM Local Production
Market Price Code,PHIDM_CEN,IDM Centralized Production
Market Price Code,PHLFMM,LFMM Hydrogen Price
Planning Period Code,P1,Current Year
Planning Period Code,P2,Next Year
Planning Period Code,P3,Remaining years
Market Quantity Code,QHTDM_LOC,TDM Local Production
Market Quantity Code,QHTDM_CEN,TDM Centralized Production
Market Quantity Code,QHCDM,CDM Hydrogen Quantity
Market Quantity Code,QHEMM1,EMM Hydrogen Quantity Season 1
Market Quantity Code,QHEMM2,EMM Hydrogen Quantity Season 2
Market Quantity Code,QHEMM3,EMM Hydrogen Quantity Season 3
Market Quantity Code,QHNGMM,NGMM Hydrogen Quantity
Market Quantity Code,QHIDM_LOC,IDM Local Production
Market Quantity Code,QHIDM_CEN,IDM Centralized Production
Market Quantity Code,QHLFMM,LFMM Hydrogen Quantity
Season Code,S1,Summer 
Season Code,S2,Winter 
Season Code,S3,Spring/Fall
Season Code,S0,All Seasons
Production Steps,S1,Step1
Production Steps,S2,Step2
Production Steps,S3,Step3
Transportation Steps,S1,Step1
Transportation Steps,S2,Step2
Transportation Steps,S3,Step3
