TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
H-B Process,1,1,200,0,0
H-B Process,1,2,200,0,0
H-B Process,1,3,200,0,0
H-B Process,1,4,200,0,0
H-B Process,1,5,200,0,0
H-B Process,1,6,200,0,0
H-B Process,1,7,200,0,0
H-B Process,1,8,200,0,0
H-B Process,1,9,200,0,0
H-B Process,1,10,200,0,0
H-B Process,1,11,200,0,0
H-B Process,1,12,200,0,0
H-B Process,1,13,200,0,0
H-B Process,1,14,200,0,0
H-B Process,1,15,200,0,0
H-B Process,1,16,200,0,0
H-B Process,1,17,200,0,0
H-B Process,1,18,200,0,0
H-B Process,1,19,200,0,0
H-B Process,1,20,200,0,0
H-B Process,1,21,200,0,0
H-B Process,1,22,200,0,0
H-B Process,1,23,200,0,0
H-B Process,1,24,200,0,0
H-B Process,1,25,200,0,0
H-B Process,1,26,200,0,0
H-B Process,1,27,200,0,0
H-B Process,1,28,200,0,0
H-B Process,1,29,200,0,0
H-B Process,1,30,200,0,0
H-B Process,1,31,200,0,0
H-B Process,1,32,200,0,0
H-B Process,1,33,200,0,0
H-B Process,1,34,200,0,0
H-B Process,1,35,200,0,0
H-B Process,1,36,200,0,0
H-B Process,1,37,200,0,0
H-B Process,1,38,200,0,0
H-B Process,1,39,200,0,0
H-B Process,1,40,200,0,0
H-B Process,1,41,200,0,0
H-B Process,1,42,200,0,0
H-B Process,1,43,200,0,0
H-B Process,1,44,200,0,0
H-B Process,1,45,200,0,0
H-B Process,1,46,200,0,0
H-B Process,1,47,200,0,0
H-B Process,1,48,200,0,0
H-B Process,1,49,200,0,0
H-B Process,1,50,200,0,0
H-B Process,1,51,200,0,0
H-B Process,1,52,200,0,0
H-B Process,1,53,200,0,0
H-B Process,1,54,200,0,0
H-B Process,1,55,200,0,0
H-B Process,1,56,200,0,0
H-B Process,1,57,200,0,0
H-B Process,1,58,200,0,0
H-B Process,1,59,200,0,0
H-B Process,1,60,200,0,0
H-B Process,1,61,200,0,0
H-B Process,2,1,200,0,0
H-B Process,2,2,200,0,0
H-B Process,2,3,200,0,0
H-B Process,2,4,200,0,0
H-B Process,2,5,200,0,0
H-B Process,2,6,200,0,0
H-B Process,2,7,200,0,0
H-B Process,2,8,200,0,0
H-B Process,2,9,200,0,0
H-B Process,2,10,200,0,0
H-B Process,2,11,200,0,0
H-B Process,2,12,200,0,0
H-B Process,2,13,200,0,0
H-B Process,2,14,200,0,0
H-B Process,2,15,200,0,0
H-B Process,2,16,200,0,0
H-B Process,2,17,200,0,0
H-B Process,2,18,200,0,0
H-B Process,2,19,200,0,0
H-B Process,2,20,200,0,0
H-B Process,2,21,200,0,0
H-B Process,2,22,200,0,0
H-B Process,2,23,200,0,0
H-B Process,2,24,200,0,0
H-B Process,2,25,200,0,0
H-B Process,2,26,200,0,0
H-B Process,2,27,200,0,0
H-B Process,2,28,200,0,0
H-B Process,2,29,200,0,0
H-B Process,2,30,200,0,0
H-B Process,2,31,200,0,0
H-B Process,2,32,200,0,0
H-B Process,2,33,200,0,0
H-B Process,2,34,200,0,0
H-B Process,2,35,200,0,0
H-B Process,2,36,200,0,0
H-B Process,2,37,200,0,0
H-B Process,2,38,200,0,0
H-B Process,2,39,200,0,0
H-B Process,2,40,200,0,0
H-B Process,2,41,200,0,0
H-B Process,2,42,200,0,0
H-B Process,2,43,200,0,0
H-B Process,2,44,200,0,0
H-B Process,2,45,200,0,0
H-B Process,2,46,200,0,0
H-B Process,2,47,200,0,0
H-B Process,2,48,200,0,0
H-B Process,2,49,200,0,0
H-B Process,2,50,200,0,0
H-B Process,2,51,200,0,0
H-B Process,2,52,200,0,0
H-B Process,2,53,200,0,0
H-B Process,2,54,200,0,0
H-B Process,2,55,200,0,0
H-B Process,2,56,200,0,0
H-B Process,2,57,200,0,0
H-B Process,2,58,200,0,0
H-B Process,2,59,200,0,0
H-B Process,2,60,200,0,0
H-B Process,2,61,200,0,0
H-B Process,3,1,200,0,0
H-B Process,3,2,200,0,0
H-B Process,3,3,200,0,0
H-B Process,3,4,200,0,0
H-B Process,3,5,200,0,0
H-B Process,3,6,200,0,0
H-B Process,3,7,200,0,0
H-B Process,3,8,200,0,0
H-B Process,3,9,200,0,0
H-B Process,3,10,200,0,0
H-B Process,3,11,200,0,0
H-B Process,3,12,200,0,0
H-B Process,3,13,200,0,0
H-B Process,3,14,200,0,0
H-B Process,3,15,200,0,0
H-B Process,3,16,200,0,0
H-B Process,3,17,200,0,0
H-B Process,3,18,200,0,0
H-B Process,3,19,200,0,0
H-B Process,3,20,200,0,0
H-B Process,3,21,200,0,0
H-B Process,3,22,200,0,0
H-B Process,3,23,200,0,0
H-B Process,3,24,200,0,0
H-B Process,3,25,200,0,0
H-B Process,3,26,200,0,0
H-B Process,3,27,200,0,0
H-B Process,3,28,200,0,0
H-B Process,3,29,200,0,0
H-B Process,3,30,200,0,0
H-B Process,3,31,200,0,0
H-B Process,3,32,200,0,0
H-B Process,3,33,200,0,0
H-B Process,3,34,200,0,0
H-B Process,3,35,200,0,0
H-B Process,3,36,200,0,0
H-B Process,3,37,200,0,0
H-B Process,3,38,200,0,0
H-B Process,3,39,200,0,0
H-B Process,3,40,200,0,0
H-B Process,3,41,200,0,0
H-B Process,3,42,200,0,0
H-B Process,3,43,200,0,0
H-B Process,3,44,200,0,0
H-B Process,3,45,200,0,0
H-B Process,3,46,200,0,0
H-B Process,3,47,200,0,0
H-B Process,3,48,200,0,0
H-B Process,3,49,200,0,0
H-B Process,3,50,200,0,0
H-B Process,3,51,200,0,0
H-B Process,3,52,200,0,0
H-B Process,3,53,200,0,0
H-B Process,3,54,200,0,0
H-B Process,3,55,200,0,0
H-B Process,3,56,200,0,0
H-B Process,3,57,200,0,0
H-B Process,3,58,200,0,0
H-B Process,3,59,200,0,0
H-B Process,3,60,200,0,0
H-B Process,3,61,200,0,0
H-B Process,4,1,200,0,0
H-B Process,4,2,200,0,0
H-B Process,4,3,200,0,0
H-B Process,4,4,200,0,0
H-B Process,4,5,200,0,0
H-B Process,4,6,200,0,0
H-B Process,4,7,200,0,0
H-B Process,4,8,200,0,0
H-B Process,4,9,200,0,0
H-B Process,4,10,200,0,0
H-B Process,4,11,200,0,0
H-B Process,4,12,200,0,0
H-B Process,4,13,200,0,0
H-B Process,4,14,200,0,0
H-B Process,4,15,200,0,0
H-B Process,4,16,200,0,0
H-B Process,4,17,200,0,0
H-B Process,4,18,200,0,0
H-B Process,4,19,200,0,0
H-B Process,4,20,200,0,0
H-B Process,4,21,200,0,0
H-B Process,4,22,200,0,0
H-B Process,4,23,200,0,0
H-B Process,4,24,200,0,0
H-B Process,4,25,200,0,0
H-B Process,4,26,200,0,0
H-B Process,4,27,200,0,0
H-B Process,4,28,200,0,0
H-B Process,4,29,200,0,0
H-B Process,4,30,200,0,0
H-B Process,4,31,200,0,0
H-B Process,4,32,200,0,0
H-B Process,4,33,200,0,0
H-B Process,4,34,200,0,0
H-B Process,4,35,200,0,0
H-B Process,4,36,200,0,0
H-B Process,4,37,200,0,0
H-B Process,4,38,200,0,0
H-B Process,4,39,200,0,0
H-B Process,4,40,200,0,0
H-B Process,4,41,200,0,0
H-B Process,4,42,200,0,0
H-B Process,4,43,200,0,0
H-B Process,4,44,200,0,0
H-B Process,4,45,200,0,0
H-B Process,4,46,200,0,0
H-B Process,4,47,200,0,0
H-B Process,4,48,200,0,0
H-B Process,4,49,200,0,0
H-B Process,4,50,200,0,0
H-B Process,4,51,200,0,0
H-B Process,4,52,200,0,0
H-B Process,4,53,200,0,0
H-B Process,4,54,200,0,0
H-B Process,4,55,200,0,0
H-B Process,4,56,200,0,0
H-B Process,4,57,200,0,0
H-B Process,4,58,200,0,0
H-B Process,4,59,200,0,0
H-B Process,4,60,200,0,0
H-B Process,4,61,200,0,0
H-B Process,5,1,200,0,0
H-B Process,5,2,200,0,0
H-B Process,5,3,200,0,0
H-B Process,5,4,200,0,0
H-B Process,5,5,200,0,0
H-B Process,5,6,200,0,0
H-B Process,5,7,200,0,0
H-B Process,5,8,200,0,0
H-B Process,5,9,200,0,0
H-B Process,5,10,200,0,0
H-B Process,5,11,200,0,0
H-B Process,5,12,200,0,0
H-B Process,5,13,200,0,0
H-B Process,5,14,200,0,0
H-B Process,5,15,200,0,0
H-B Process,5,16,200,0,0
H-B Process,5,17,200,0,0
H-B Process,5,18,200,0,0
H-B Process,5,19,200,0,0
H-B Process,5,20,200,0,0
H-B Process,5,21,200,0,0
H-B Process,5,22,200,0,0
H-B Process,5,23,200,0,0
H-B Process,5,24,200,0,0
H-B Process,5,25,200,0,0
H-B Process,5,26,200,0,0
H-B Process,5,27,200,0,0
H-B Process,5,28,200,0,0
H-B Process,5,29,200,0,0
H-B Process,5,30,200,0,0
H-B Process,5,31,200,0,0
H-B Process,5,32,200,0,0
H-B Process,5,33,200,0,0
H-B Process,5,34,200,0,0
H-B Process,5,35,200,0,0
H-B Process,5,36,200,0,0
H-B Process,5,37,200,0,0
H-B Process,5,38,200,0,0
H-B Process,5,39,200,0,0
H-B Process,5,40,200,0,0
H-B Process,5,41,200,0,0
H-B Process,5,42,200,0,0
H-B Process,5,43,200,0,0
H-B Process,5,44,200,0,0
H-B Process,5,45,200,0,0
H-B Process,5,46,200,0,0
H-B Process,5,47,200,0,0
H-B Process,5,48,200,0,0
H-B Process,5,49,200,0,0
H-B Process,5,50,200,0,0
H-B Process,5,51,200,0,0
H-B Process,5,52,200,0,0
H-B Process,5,53,200,0,0
H-B Process,5,54,200,0,0
H-B Process,5,55,200,0,0
H-B Process,5,56,200,0,0
H-B Process,5,57,200,0,0
H-B Process,5,58,200,0,0
H-B Process,5,59,200,0,0
H-B Process,5,60,200,0,0
H-B Process,5,61,200,0,0
H-B Process,6,1,200,0,0
H-B Process,6,2,200,0,0
H-B Process,6,3,200,0,0
H-B Process,6,4,200,0,0
H-B Process,6,5,200,0,0
H-B Process,6,6,200,0,0
H-B Process,6,7,200,0,0
H-B Process,6,8,200,0,0
H-B Process,6,9,200,0,0
H-B Process,6,10,200,0,0
H-B Process,6,11,200,0,0
H-B Process,6,12,200,0,0
H-B Process,6,13,200,0,0
H-B Process,6,14,200,0,0
H-B Process,6,15,200,0,0
H-B Process,6,16,200,0,0
H-B Process,6,17,200,0,0
H-B Process,6,18,200,0,0
H-B Process,6,19,200,0,0
H-B Process,6,20,200,0,0
H-B Process,6,21,200,0,0
H-B Process,6,22,200,0,0
H-B Process,6,23,200,0,0
H-B Process,6,24,200,0,0
H-B Process,6,25,200,0,0
H-B Process,6,26,200,0,0
H-B Process,6,27,200,0,0
H-B Process,6,28,200,0,0
H-B Process,6,29,200,0,0
H-B Process,6,30,200,0,0
H-B Process,6,31,200,0,0
H-B Process,6,32,200,0,0
H-B Process,6,33,200,0,0
H-B Process,6,34,200,0,0
H-B Process,6,35,200,0,0
H-B Process,6,36,200,0,0
H-B Process,6,37,200,0,0
H-B Process,6,38,200,0,0
H-B Process,6,39,200,0,0
H-B Process,6,40,200,0,0
H-B Process,6,41,200,0,0
H-B Process,6,42,200,0,0
