TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
SMR,1,1,15,0,0.1
SMR,1,2,15,0,0.1
SMR,1,3,15,0,0.1
SMR,1,4,15,0,0.1
SMR,1,5,15,0,0.1
SMR,1,6,15,0,0.1
SMR,1,7,15,0,0.1
SMR,1,8,15,0,0.1
SMR,1,9,15,0,0.1
SMR,1,10,15,0,0.1
SMR,1,11,15,0,0.1
SMR,1,12,15,0,0.1
SMR,1,13,15,0,0.1
SMR,1,14,15,0,0.1
SMR,1,15,15,0,0.1
SMR,1,16,15,0,0.1
SMR,1,17,15,0,0.1
SMR,1,18,15,0,0.1
SMR,1,19,15,0,0.1
SMR,1,20,15,0,0.1
SMR,1,21,15,0,0.1
SMR,1,22,15,0,0.1
SMR,1,23,15,0,0.1
SMR,1,24,15,0,0.1
SMR,1,25,15,0,0.1
SMR,1,26,15,0,0.1
SMR,1,27,15,0,0.1
SMR,1,28,15,0,0.1
SMR,1,29,15,0,0.1
SMR,1,30,15,0,0.1
SMR,1,31,15,0,0.1
SMR,1,32,15,0,0.1
SMR,1,33,15,0,0.1
SMR,1,34,15,0,0.1
SMR,1,35,15,0,0.1
SMR,1,36,15,0,0.1
SMR,1,37,15,0,0.1
SMR,1,38,15,0,0.1
SMR,1,39,15,0,0.1
SMR,1,40,15,0,0.1
SMR,1,41,15,0,0.1
SMR,1,42,15,0,0.1
SMR,1,43,15,0,0.1
SMR,1,44,15,0,0.1
SMR,1,45,15,0,0.1
SMR,1,46,15,0,0.1
SMR,1,47,15,0,0.1
SMR,1,48,15,0,0.1
SMR,1,49,15,0,0.1
SMR,1,50,15,0,0.1
SMR,1,51,15,0,0.1
SMR,1,52,15,0,0.1
SMR,1,53,15,0,0.1
SMR,1,54,15,0,0.1
SMR,1,55,15,0,0.1
SMR,1,56,15,0,0.1
SMR,1,57,15,0,0.1
SMR,1,58,15,0,0.1
SMR,1,59,15,0,0.1
SMR,1,60,15,0,0.1
SMR,1,61,15,0,0.1
SMR,2,1,5,0,0.1
SMR,2,2,5,0,0.1
SMR,2,3,5,0,0.1
SMR,2,4,5,0,0.1
SMR,2,5,5,0,0.1
SMR,2,6,5,0,0.1
SMR,2,7,5,0,0.1
SMR,2,8,5,0,0.1
SMR,2,9,5,0,0.1
SMR,2,10,5,0,0.1
SMR,2,11,5,0,0.1
SMR,2,12,5,0,0.1
SMR,2,13,5,0,0.1
SMR,2,14,5,0,0.1
