TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
Saline Cavern,1,1,100,0.2,0.1
Saline Cavern,1,2,100,0.2,0.1
Saline Cavern,1,3,100,0.2,0.1
Saline Cavern,1,4,100,0.2,0.1
Saline Cavern,1,5,100,0.2,0.1
Saline Cavern,1,6,100,0.2,0.1
Saline Cavern,1,7,100,0.2,0.1
Saline Cavern,1,8,100,0.2,0.1
Saline Cavern,1,9,100,0.2,0.1
Saline Cavern,1,10,100,0.2,0.1
Saline Cavern,1,11,100,0.2,0.1
Saline Cavern,1,12,100,0.2,0.1
Saline Cavern,1,13,100,0.2,0.1
Saline Cavern,1,14,100,0.2,0.1
Saline Cavern,1,15,100,0.2,0.1
Saline Cavern,1,16,100,0.2,0.1
Saline Cavern,1,17,100,0.2,0.1
Saline Cavern,1,18,100,0.2,0.1
Saline Cavern,1,19,100,0.2,0.1
Saline Cavern,1,20,100,0.2,0.1
Saline Cavern,1,21,100,0.2,0.1
Saline Cavern,1,22,100,0.2,0.1
Saline Cavern,1,23,100,0.2,0.1
Saline Cavern,1,24,100,0.2,0.1
Saline Cavern,1,25,100,0.2,0.1
Saline Cavern,1,26,100,0.2,0.1
Saline Cavern,1,27,100,0.2,0.1
Saline Cavern,1,28,100,0.2,0.1
Saline Cavern,1,29,100,0.2,0.1
Saline Cavern,1,30,100,0.2,0.1
Saline Cavern,1,31,100,0.2,0.1
Saline Cavern,1,32,100,0.2,0.1
Saline Cavern,1,33,100,0.2,0.1
Saline Cavern,1,34,100,0.2,0.1
Saline Cavern,1,35,100,0.2,0.1
Saline Cavern,1,36,100,0.2,0.1
Saline Cavern,1,37,100,0.2,0.1
Saline Cavern,1,38,100,0.2,0.1
Saline Cavern,1,39,100,0.2,0.1
Saline Cavern,1,40,100,0.2,0.1
Saline Cavern,1,41,100,0.2,0.1
Saline Cavern,1,42,100,0.2,0.1
Saline Cavern,1,43,100,0.2,0.1
Saline Cavern,1,44,100,0.2,0.1
Saline Cavern,1,45,100,0.2,0.1
