TECH,MNUMYR,MNUMCR,MNUMCR2,CAPAVAIL,CAPLAN,CAPNEW
Transmission Pipeline,1,1,1,1000,0.2,0.1
Transmission Pipeline,1,1,2,100,0.2,0.1
Transmission Pipeline,1,2,1,100,0.2,0.1
Transmission Pipeline,1,2,2,1000,0.2,0.1
Transmission Pipeline,1,2,3,100,0.2,0.1
Transmission Pipeline,1,2,5,100,0.2,0.1
Transmission Pipeline,1,2,6,100,0.2,0.1
Transmission Pipeline,1,3,2,100,0.2,0.1
Transmission Pipeline,1,3,3,1000,0.2,0.1
Transmission Pipeline,1,3,4,100,0.2,0.1
Transmission Pipeline,1,3,6,100,0.2,0.1
Transmission Pipeline,1,3,7,100,0.2,0.1
Transmission Pipeline,1,4,3,100,0.2,0.1
Transmission Pipeline,1,4,4,1000,0.2,0.1
Transmission Pipeline,1,4,7,100,0.2,0.1
Transmission Pipeline,1,4,8,100,0.2,0.1
Transmission Pipeline,1,5,2,100,0.2,0.1
Transmission Pipeline,1,5,5,1000,0.2,0.1
Transmission Pipeline,1,5,6,100,0.2,0.1
Transmission Pipeline,1,6,2,100,0.2,0.1
Transmission Pipeline,1,6,3,100,0.2,0.1
Transmission Pipeline,1,6,5,100,0.2,0.1
Transmission Pipeline,1,6,6,1000,0.2,0.1
Transmission Pipeline,1,6,7,100,0.2,0.1
Transmission Pipeline,1,7,3,100,0.2,0.1
Transmission Pipeline,1,7,4,100,0.2,0.1
Transmission Pipeline,1,7,6,100,0.2,0.1
Transmission Pipeline,1,7,7,1000,0.2,0.1
Transmission Pipeline,1,7,8,100,0.2,0.1
Transmission Pipeline,1,8,4,100,0.2,0.1
Transmission Pipeline,1,8,7,100,0.2,0.1
Transmission Pipeline,1,8,8,1000,0.2,0.1
Transmission Pipeline,1,8,9,100,0.2,0.1
Transmission Pipeline,1,9,8,100,0.2,0.1
Transmission Pipeline,1,9,9,1000,0.2,0.1
Transmission Pipeline,1,10,10,5000,0.2,0.1
Transmission Pipeline,1,11,11,5000,0.2,0.1
Transmission Pipeline,2,1,1,1000,0.2,0.1
Transmission Pipeline,2,1,2,100,0.2,0.1
Transmission Pipeline,2,2,1,100,0.2,0.1
Transmission Pipeline,2,2,2,1000,0.2,0.1
Transmission Pipeline,2,2,3,100,0.2,0.1
Transmission Pipeline,2,2,5,100,0.2,0.1
Transmission Pipeline,2,2,6,100,0.2,0.1
Transmission Pipeline,2,3,2,100,0.2,0.1
Transmission Pipeline,2,3,3,1000,0.2,0.1
Transmission Pipeline,2,3,4,100,0.2,0.1
Transmission Pipeline,2,3,6,100,0.2,0.1
Transmission Pipeline,2,3,7,100,0.2,0.1
Transmission Pipeline,2,4,3,100,0.2,0.1
Transmission Pipeline,2,4,4,1000,0.2,0.1
Transmission Pipeline,2,4,7,100,0.2,0.1
Transmission Pipeline,2,4,8,100,0.2,0.1
Transmission Pipeline,2,5,2,100,0.2,0.1
Transmission Pipeline,2,5,5,1000,0.2,0.1
Transmission Pipeline,2,5,6,100,0.2,0.1
Transmission Pipeline,2,6,2,100,0.2,0.1
